class,split,AP50_95
1-5-Volt-Battery,val,0.5821
3-3-Volt-Battery,val,0.6419
7-Segment-Display,val,0.6621
9-Volt-Battery,val,0.833
Arduino-Mega,val,0.8684
Arduino-Nano,val,0.6639
Arduino-Uno,val,0.8706
BJT-Transistor,val,0.3969
Bluetooth-Module,val,0.6996
Breadboard,val,0.7794
Bridge-Rectifier,val,0.8177
Buck-Converter,val,0.7623
Buzzer,val,0.5115
Capacitor-10mf,val,0.4603
Capacitor-470mf,val,0.4768
DC-Motor,val,0.5997
Diode,val,0.758
ESP32,val,0.7961
ESP32-CAM,val,0.6546
FT-232-USB-Serial-Module,val,0.6678
Film-Capacitor,val,0.6492
Fuse,val,0.3615
Fuse-Base,val,0.6013
GSM-Module,val,0.783
Gas-Sensor,val,0.7714
Heat-Sink,val,0.7663
High-Voltage-Ceramic-Capacitor,val,0.6319
Humidity-Sensor,val,0.7034
IC-Base-14-Pin,val,0.6308
IC-Base-28-Pin,val,0.6931
IC-Chip,val,0.5674
IGBT,val,0.4779
IR-Sensor,val,0.5732
Inductor,val,0.5561
Keypad,val,0.4486
LCD-Display,val,0.8823
LDR-Sensor,val,0.6075
LED-Light,val,0.7172
Low-Voltage-Ceramic-Capacitor,val,0.3244
MLC-Capacitor,val,0.4751
MOSFET,val,0.4978
Motion-Sensor,val,0.8068
Motor-Driver,val,0.8953
NTC-Thermistor,val,0.4118
OLED-Display,val,0.7872
Pin-Header,val,0.4181
Push-Switch,val,0.4661
RFID-Scanner,val,0.8604
Raindrops-Module,val,0.7389
Relay-Module,val,0.7599
Resistor,val,0.6469
Rocker-Switch,val,0.6018
Servo-Motor,val,0.6539
Soil-Moisture-Sensor,val,0.7102
Sonar-Sensor,val,0.7522
TCRT5000,val,0.5704
Tact-Switch,val,0.3106
Taper-Potentiometer,val,0.5593
Trimmer-Potentiometer,val,0.4842
Water-Sensor,val,0.8075
Zener-Diode,val,0.3037
1-5-Volt-Battery,test,0.5513
3-3-Volt-Battery,test,0.6599
7-Segment-Display,test,0.6821
9-Volt-Battery,test,0.74
Arduino-Mega,test,0.8202
Arduino-Nano,test,0.6519
Arduino-Uno,test,0.8994
BJT-Transistor,test,0.469
Bluetooth-Module,test,0.6441
Breadboard,test,0.876
Bridge-Rectifier,test,0.8013
Buck-Converter,test,0.7718
Buzzer,test,0.6242
Capacitor-10mf,test,0.4934
Capacitor-470mf,test,0.5267
DC-Motor,test,0.4608
Diode,test,0.5642
ESP32,test,0.4718
ESP32-CAM,test,0.6234
FT-232-USB-Serial-Module,test,0.593
Film-Capacitor,test,0.6759
Fuse,test,0.34
Fuse-Base,test,0.5818
GSM-Module,test,0.7531
Gas-Sensor,test,0.8065
Heat-Sink,test,0.723
High-Voltage-Ceramic-Capacitor,test,0.562
Humidity-Sensor,test,0.7573
IC-Base-14-Pin,test,0.628
IC-Base-28-Pin,test,0.6263
IC-Chip,test,0.6015
IGBT,test,0.4565
IR-Sensor,test,0.6331
Inductor,test,0.635
Keypad,test,0.4457
LCD-Display,test,0.8501
LDR-Sensor,test,0.6522
LED-Light,test,0.5515
Low-Voltage-Ceramic-Capacitor,test,0.4048
MLC-Capacitor,test,0.5144
MOSFET,test,0.5941
Motion-Sensor,test,0.6502
Motor-Driver,test,0.8317
NTC-Thermistor,test,0.2462
OLED-Display,test,0.8228
Pin-Header,test,0.3355
Push-Switch,test,0.4375
RFID-Scanner,test,0.8475
Raindrops-Module,test,0.7556
Relay-Module,test,0.7409
Resistor,test,0.6721
Rocker-Switch,test,0.557
Servo-Motor,test,0.6454
Soil-Moisture-Sensor,test,0.6517
Sonar-Sensor,test,0.796
TCRT5000,test,0.4958
Tact-Switch,test,0.2928
Taper-Potentiometer,test,0.5204
Trimmer-Potentiometer,test,0.4968
Water-Sensor,test,0.826
Zener-Diode,test,0.2598
