epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,136.796,0.90885,1.54508,0.98077,0,0.03279,4e-05,2e-05,0.40344,2.66496,0.29149,3.29749e-05,3.29749e-05,0.0670581
2,270.56,0.49141,2.13197,0.21768,0.00014,0.03044,6e-05,4e-05,0.3644,2.79315,0.22834,6.56518e-05,6.56518e-05,0.0337574
3,404.234,0.41034,2.25924,0.18209,0.00019,0.08369,0.00091,0.00059,0.29804,2.83994,0.19309,9.76687e-05,9.76687e-05,0.000456092
4,537.712,0.36194,2.26224,0.16295,0.5416,0.02058,0.00466,0.00342,0.28943,2.75559,0.18843,9.703e-05,9.703e-05,9.703e-05
5,671.346,0.34476,2.10778,0.1559,0.32089,0.26995,0.0346,0.02421,0.27635,2.47949,0.17552,9.604e-05,9.604e-05,9.604e-05
6,804.838,0.32942,1.90098,0.14405,0.41122,0.26263,0.04828,0.037,0.258,2.3309,0.16266,9.505e-05,9.505e-05,9.505e-05
7,938.528,0.32002,1.73898,0.14386,0.30724,0.36788,0.06984,0.04846,0.24803,2.07003,0.16159,9.406e-05,9.406e-05,9.406e-05
8,1072.26,0.30863,1.61442,0.12976,0.27488,0.33241,0.10752,0.07552,0.24776,1.91295,0.14909,9.307e-05,9.307e-05,9.307e-05
9,1205.83,0.31396,1.47544,0.13238,0.27249,0.41864,0.22403,0.15682,0.2628,1.67499,0.1554,9.208e-05,9.208e-05,9.208e-05
10,1339.18,0.35443,1.19186,0.15254,0.41734,0.64524,0.58169,0.37233,0.34322,1.12741,0.20759,9.109e-05,9.109e-05,9.109e-05
11,1472.51,0.39686,0.89716,0.17394,0.56759,0.65922,0.66585,0.45025,0.36697,1.06816,0.2322,9.01e-05,9.01e-05,9.01e-05
12,1606.13,0.41226,0.78379,0.19007,0.72076,0.81178,0.81642,0.5344,0.37881,0.7575,0.22903,8.911e-05,8.911e-05,8.911e-05
13,1739.68,0.40448,0.66614,0.18163,0.64453,0.85666,0.78595,0.51527,0.37863,0.74892,0.23634,8.812e-05,8.812e-05,8.812e-05
14,1873.08,0.40494,0.6274,0.18178,0.73897,0.84756,0.83658,0.55721,0.37582,0.68355,0.23198,8.713e-05,8.713e-05,8.713e-05
15,2006.86,0.39444,0.58504,0.17611,0.77095,0.86534,0.86749,0.578,0.37832,0.65413,0.23378,8.614e-05,8.614e-05,8.614e-05
16,2140.52,0.39493,0.57092,0.17636,0.79835,0.86027,0.87769,0.58293,0.38524,0.63377,0.23608,8.515e-05,8.515e-05,8.515e-05
17,2274.28,0.38963,0.54966,0.17548,0.81715,0.90402,0.89256,0.59802,0.38016,0.57847,0.23652,8.416e-05,8.416e-05,8.416e-05
18,2407.93,0.38687,0.5294,0.1773,0.82745,0.91012,0.90097,0.60147,0.37869,0.55727,0.23695,8.317e-05,8.317e-05,8.317e-05
19,2541.56,0.39157,0.51696,0.17649,0.862,0.91044,0.91263,0.61222,0.38259,0.5445,0.24136,8.218e-05,8.218e-05,8.218e-05
20,2675.36,0.38156,0.50378,0.17628,0.85457,0.92782,0.91567,0.614,0.38275,0.52587,0.23853,8.119e-05,8.119e-05,8.119e-05
21,2809.53,0.383,0.48842,0.17215,0.847,0.92537,0.90582,0.60322,0.38482,0.51862,0.24042,8.02e-05,8.02e-05,8.02e-05
22,2943.26,0.37612,0.48172,0.16803,0.87792,0.9234,0.91253,0.60336,0.38078,0.50423,0.23907,7.921e-05,7.921e-05,7.921e-05
23,3077.11,0.36798,0.47794,0.1664,0.8717,0.92839,0.9229,0.60826,0.38591,0.51636,0.24144,7.822e-05,7.822e-05,7.822e-05
24,3210.73,0.37341,0.47077,0.17191,0.86928,0.92757,0.92393,0.61337,0.38279,0.48299,0.23792,7.723e-05,7.723e-05,7.723e-05
25,3343.99,0.365,0.46183,0.1655,0.8984,0.92041,0.93576,0.61876,0.38556,0.48828,0.24089,7.624e-05,7.624e-05,7.624e-05
26,3477.83,0.36662,0.45561,0.16487,0.88765,0.92654,0.93477,0.61685,0.39619,0.47691,0.24857,7.525e-05,7.525e-05,7.525e-05
27,3610.95,0.36064,0.44049,0.16187,0.89035,0.93584,0.93442,0.61024,0.38495,0.47581,0.24001,7.426e-05,7.426e-05,7.426e-05
28,3744.07,0.35742,0.44476,0.16085,0.90932,0.93659,0.94573,0.62329,0.37968,0.46819,0.23932,7.327e-05,7.327e-05,7.327e-05
29,3877.5,0.35526,0.44769,0.15825,0.9042,0.93391,0.9404,0.61685,0.40326,0.46189,0.25522,7.228e-05,7.228e-05,7.228e-05
30,4010.9,0.35131,0.43769,0.1605,0.90581,0.93403,0.94484,0.61883,0.39196,0.46029,0.25002,7.129e-05,7.129e-05,7.129e-05
31,4143.98,0.35021,0.43282,0.15872,0.90689,0.94878,0.9487,0.62968,0.38081,0.45402,0.24697,7.03e-05,7.03e-05,7.03e-05
32,4277.67,0.35047,0.43187,0.15723,0.91383,0.94751,0.94931,0.62901,0.38705,0.44786,0.24408,6.931e-05,6.931e-05,6.931e-05
33,4410.7,0.3417,0.41747,0.15776,0.91218,0.93357,0.94574,0.6178,0.40513,0.45069,0.26003,6.832e-05,6.832e-05,6.832e-05
34,4543.75,0.34703,0.42699,0.15851,0.92375,0.94451,0.9506,0.62298,0.38247,0.45098,0.24401,6.733e-05,6.733e-05,6.733e-05
35,4676.95,0.33875,0.41255,0.15334,0.92319,0.9431,0.94792,0.6146,0.39117,0.44052,0.25246,6.634e-05,6.634e-05,6.634e-05
36,4810.35,0.33621,0.41343,0.15144,0.91913,0.94104,0.9487,0.6334,0.39064,0.44467,0.25042,6.535e-05,6.535e-05,6.535e-05
37,4943.89,0.33331,0.41274,0.14936,0.92158,0.94266,0.94875,0.63066,0.38786,0.44878,0.24969,6.436e-05,6.436e-05,6.436e-05
38,5077.18,0.3317,0.40536,0.14922,0.92515,0.93809,0.95086,0.63392,0.39273,0.43887,0.2521,6.337e-05,6.337e-05,6.337e-05
39,5210.91,0.32523,0.40516,0.1438,0.92617,0.94277,0.94902,0.63239,0.38889,0.43713,0.24873,6.238e-05,6.238e-05,6.238e-05
40,5344.15,0.32868,0.40185,0.1486,0.92537,0.93865,0.94876,0.62765,0.39285,0.42966,0.25498,6.139e-05,6.139e-05,6.139e-05
41,5477.35,0.32612,0.39955,0.14356,0.93136,0.94133,0.95357,0.6236,0.39294,0.43152,0.25177,6.04e-05,6.04e-05,6.04e-05
42,5610.39,0.32796,0.39456,0.145,0.9387,0.94445,0.95627,0.62671,0.3941,0.42757,0.25526,5.941e-05,5.941e-05,5.941e-05
43,5743.57,0.32228,0.39689,0.14519,0.9287,0.94196,0.9523,0.62587,0.39628,0.44024,0.25404,5.842e-05,5.842e-05,5.842e-05
