class,split,AP50_95
1-5-Volt-Battery,val,0.0
3-3-Volt-Battery,val,0.003
7-Segment-Display,val,0.0
Arduino-Mega,val,0.0068
Arduino-Nano,val,0.0
Arduino-Uno,val,0.0094
BJT-Transistor,val,0.0
Breadboard,val,0.0082
Bridge-Rectifier,val,0.0012
Buck-Converter,val,0.0009
Capacitor-10mf,val,0.0
Capacitor-470mf,val,0.0
DC-Motor,val,0.0
Diode,val,0.0
ESP32-CAM,val,0.0
FT-232-USB-Serial-Module,val,0.0
Film-Capacitor,val,0.0004
Fuse,val,0.0
Fuse-Base,val,0.0
GSM-Module,val,0.0007
Heat-Sink,val,0.0003
Humidity-Sensor,val,0.0
IC-Base-14-Pin,val,0.0105
IC-Base-28-Pin,val,0.003
IC-Chip,val,0.0002
IGBT,val,0.0
IR-Sensor,val,0.0
Keypad,val,0.0018
Low-Voltage-Ceramic-Capacitor,val,0.0015
MOSFET,val,0.0
Motion-Sensor,val,0.001
NTC-Thermistor,val,0.0012
Pin-Header,val,0.0
Raindrops-Module,val,0.0015
Relay-Module,val,0.0009
Resistor,val,0.0005
Rocker-Switch,val,0.0
Servo-Motor,val,0.0
Soil-Moisture-Sensor,val,0.0
TCRT5000,val,0.0
Tact-Switch,val,0.0
Taper-Potentiometer,val,0.0
Trimmer-Potentiometer,val,0.0
Water-Sensor,val,0.0176
Zener-Diode,val,0.0001
1-5-Volt-Battery,test,0.0
3-3-Volt-Battery,test,0.0055
7-Segment-Display,test,0.0
Arduino-Mega,test,0.0134
Arduino-Nano,test,0.0
Arduino-Uno,test,0.0042
BJT-Transistor,test,0.0
Breadboard,test,0.0056
Bridge-Rectifier,test,0.0039
Buck-Converter,test,0.0
Capacitor-10mf,test,0.0
Capacitor-470mf,test,0.0
DC-Motor,test,0.0
Diode,test,0.0
ESP32,test,0.0002
ESP32-CAM,test,0.0
FT-232-USB-Serial-Module,test,0.0
Film-Capacitor,test,0.0
Fuse,test,0.0
Fuse-Base,test,0.0
GSM-Module,test,0.0007
Heat-Sink,test,0.0
Humidity-Sensor,test,0.0
IC-Base-14-Pin,test,0.0
IC-Base-28-Pin,test,0.0015
IC-Chip,test,0.0007
IGBT,test,0.0
IR-Sensor,test,0.0
Keypad,test,0.0312
Low-Voltage-Ceramic-Capacitor,test,0.0033
MOSFET,test,0.0
Motion-Sensor,test,0.0004
NTC-Thermistor,test,0.0005
Pin-Header,test,0.0
Raindrops-Module,test,0.0065
Relay-Module,test,0.0064
Resistor,test,0.0054
Rocker-Switch,test,0.0
Servo-Motor,test,0.0
Soil-Moisture-Sensor,test,0.0
TCRT5000,test,0.0
Tact-Switch,test,0.0
Taper-Potentiometer,test,0.0
Trimmer-Potentiometer,test,0.0
Water-Sensor,test,0.0298
Zener-Diode,test,0.0
