epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,139.098,0.81294,1.54276,0.71866,0.00055,0.05477,0.00065,0.00024,0.52638,2.10909,0.38675,0.00329749,0.00329749,0.0703226
2,275.401,0.55219,1.74863,0.24644,0.00137,0.01891,0.00036,0.0002,nan,nan,nan,0.00656518,0.00656518,0.0402569
3,411.61,0.5276,1.70994,0.24783,0.35983,0.07714,0.00293,0.00119,nan,nan,nan,0.00976687,0.00976687,0.0101253
4,548.601,0.57134,1.57531,0.27058,0.00504,0.17421,0.00401,0.0016,0.63026,1.93443,0.50604,0.009703,0.009703,0.009703
5,684.768,0.59194,1.48463,0.2809,0,0,0,0,nan,nan,nan,0.009604,0.009604,0.009604
6,821.548,0.7057,1.44588,0.34595,0.00755,0.06633,0.00098,0.00046,nan,nan,nan,0.009505,0.009505,0.009505
7,957.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009406,0.009406,0.009406
8,1091.22,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009307,0.009307,0.009307
9,1224.78,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009208,0.009208,0.009208
10,1358.01,nan,nan,nan,0,0,0,0,nan,nan,nan,0.009109,0.009109,0.009109
11,1491.89,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00901,0.00901,0.00901
12,1625.73,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008911,0.008911,0.008911
13,1759.28,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008812,0.008812,0.008812
14,1893.28,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008713,0.008713,0.008713
15,2026.95,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008614,0.008614,0.008614
16,2160.97,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008515,0.008515,0.008515
17,2294.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008416,0.008416,0.008416
18,2428.35,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008317,0.008317,0.008317
19,2561.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.008218,0.008218,0.008218
