class,split,AP50_95
1-5-Volt-Battery,val,0.6523
3-3-Volt-Battery,val,0.6624
7-Segment-Display,val,0.6542
Arduino-Mega,val,0.907
Arduino-Nano,val,0.684
Arduino-Uno,val,0.8355
BJT-Transistor,val,0.3
Breadboard,val,0.8084
Bridge-Rectifier,val,0.8007
Buck-Converter,val,0.7606
Capacitor-10mf,val,0.4555
Capacitor-470mf,val,0.5252
DC-Motor,val,0.5915
Diode,val,0.6281
ESP32-CAM,val,0.691
FT-232-USB-Serial-Module,val,0.6317
Film-Capacitor,val,0.5365
Fuse,val,0.2718
Fuse-Base,val,0.5457
GSM-Module,val,0.7593
Heat-Sink,val,0.752
Humidity-Sensor,val,0.6844
IC-Base-14-Pin,val,0.6487
IC-Base-28-Pin,val,0.7161
IC-Chip,val,0.5281
IGBT,val,0.5147
IR-Sensor,val,0.6203
Keypad,val,0.3826
Low-Voltage-Ceramic-Capacitor,val,0.2724
MOSFET,val,0.5144
Motion-Sensor,val,0.812
NTC-Thermistor,val,0.3781
Pin-Header,val,0.4395
Raindrops-Module,val,0.7564
Relay-Module,val,0.7735
Resistor,val,0.644
Rocker-Switch,val,0.5845
Servo-Motor,val,0.5956
Soil-Moisture-Sensor,val,0.7242
TCRT5000,val,0.5515
Tact-Switch,val,0.295
Taper-Potentiometer,val,0.5457
Trimmer-Potentiometer,val,0.4952
Water-Sensor,val,0.8097
Zener-Diode,val,0.3317
1-5-Volt-Battery,test,0.6456
3-3-Volt-Battery,test,0.6798
7-Segment-Display,test,0.676
Arduino-Mega,test,0.8157
Arduino-Nano,test,0.564
Arduino-Uno,test,0.995
BJT-Transistor,test,0.5305
Breadboard,test,0.7971
Bridge-Rectifier,test,0.7947
Buck-Converter,test,0.7694
Capacitor-10mf,test,0.5149
Capacitor-470mf,test,0.5381
DC-Motor,test,0.4299
Diode,test,0.7213
ESP32,test,0.0008
ESP32-CAM,test,0.667
FT-232-USB-Serial-Module,test,0.6151
Film-Capacitor,test,0.7479
Fuse,test,0.5785
Fuse-Base,test,0.746
GSM-Module,test,0.7592
Heat-Sink,test,0.8955
Humidity-Sensor,test,0.7392
IC-Base-14-Pin,test,0.5697
IC-Base-28-Pin,test,0.6618
IC-Chip,test,0.4723
IGBT,test,0.4931
IR-Sensor,test,0.618
Keypad,test,0.4917
Low-Voltage-Ceramic-Capacitor,test,0.3351
MOSFET,test,0.5828
Motion-Sensor,test,0.7075
NTC-Thermistor,test,0.3806
Pin-Header,test,0.3397
Raindrops-Module,test,0.7441
Relay-Module,test,0.7368
Resistor,test,0.7043
Rocker-Switch,test,0.5143
Servo-Motor,test,0.4262
Soil-Moisture-Sensor,test,0.6558
TCRT5000,test,0.5855
Tact-Switch,test,0.3672
Taper-Potentiometer,test,0.5536
Trimmer-Potentiometer,test,0.4895
Water-Sensor,test,0.8261
Zener-Diode,test,0.3289
