epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,135.993,0.77214,1.69222,0.74129,0,0.02222,0,0,0.53916,2.4274,0.42455,3.29749e-05,3.29749e-05,0.0670581
2,269.121,0.46014,2.17017,0.20049,1e-05,0.02963,4e-05,2e-05,0.33486,2.87761,0.23198,6.56518e-05,6.56518e-05,0.0337574
3,402.049,0.39121,2.2315,0.17862,0.02387,0.09222,0.00476,0.00307,0.30269,2.76076,0.20327,9.76687e-05,9.76687e-05,0.000456092
4,535.731,0.3567,2.06813,0.15655,0.2813,0.21809,0.02182,0.01687,0.26764,2.57702,0.16831,9.703e-05,9.703e-05,9.703e-05
5,668.812,0.33696,1.83904,0.14681,0.41875,0.28029,0.04672,0.03443,0.25838,2.26116,0.16691,9.604e-05,9.604e-05,9.604e-05
6,802.17,0.32551,1.66323,0.13801,0.0311,0.63295,0.06415,0.04643,0.24988,2.05996,0.15437,9.505e-05,9.505e-05,9.505e-05
7,935.252,0.31954,1.56506,0.1389,0.11842,0.56597,0.09276,0.06231,0.24729,1.90586,0.15019,9.406e-05,9.406e-05,9.406e-05
8,1068.34,0.30875,1.46869,0.12876,0.11716,0.5168,0.11806,0.08241,0.24994,1.7238,0.15057,9.307e-05,9.307e-05,9.307e-05
9,1201.43,0.31212,1.38055,0.13227,0.13825,0.44429,0.12186,0.08288,0.25533,1.68783,0.1593,9.208e-05,9.208e-05,9.208e-05
10,1334.43,0.32131,1.30305,0.13451,0.18802,0.44204,0.21216,0.13671,0.26146,1.49436,0.15609,9.109e-05,9.109e-05,9.109e-05
11,1467.58,0.35759,1.0665,0.1539,0.65675,0.64757,0.66248,0.42154,0.37456,0.92451,0.23143,9.01e-05,9.01e-05,9.01e-05
12,1600.86,0.39918,0.71867,0.17874,0.65712,0.79482,0.75338,0.46486,0.39588,0.72377,0.24467,8.911e-05,8.911e-05,8.911e-05
13,1734.06,0.39843,0.6258,0.17511,0.73694,0.83694,0.81034,0.51602,0.38395,0.66239,0.24076,8.812e-05,8.812e-05,8.812e-05
14,1867.23,0.39993,0.57185,0.1804,0.71769,0.85299,0.81403,0.51802,0.38721,0.64559,0.24407,8.713e-05,8.713e-05,8.713e-05
15,2000.16,0.39819,0.54578,0.17616,0.75671,0.85886,0.83454,0.53222,0.38449,0.6187,0.23954,8.614e-05,8.614e-05,8.614e-05
16,2133.41,0.3936,0.53299,0.17383,0.76097,0.87779,0.83284,0.53436,0.38877,0.58435,0.24601,8.515e-05,8.515e-05,8.515e-05
17,2266.69,0.38841,0.5158,0.17327,0.79956,0.89938,0.86443,0.55915,0.39153,0.55738,0.24583,8.416e-05,8.416e-05,8.416e-05
18,2399.87,0.38696,0.50209,0.17436,0.80129,0.89696,0.86218,0.55459,0.38646,0.55465,0.2475,8.317e-05,8.317e-05,8.317e-05
19,2532.73,0.39096,0.49704,0.17458,0.81938,0.88566,0.86394,0.55106,0.38899,0.53895,0.24765,8.218e-05,8.218e-05,8.218e-05
20,2665.84,0.38277,0.4821,0.175,0.79618,0.91008,0.8698,0.54004,0.38916,0.53452,0.25025,8.119e-05,8.119e-05,8.119e-05
21,2798.85,0.37803,0.47141,0.16619,0.81542,0.9236,0.89415,0.56292,0.39563,0.49755,0.25652,8.02e-05,8.02e-05,8.02e-05
22,2932.66,0.37974,0.46554,0.16798,0.84622,0.91874,0.89722,0.57761,0.39188,0.49185,0.25488,7.921e-05,7.921e-05,7.921e-05
23,3065.89,0.37634,0.45782,0.16932,0.84835,0.90791,0.88326,0.55631,0.39615,0.49104,0.25984,7.822e-05,7.822e-05,7.822e-05
24,3198.86,0.36739,0.45611,0.16693,0.86242,0.89724,0.89588,0.57467,0.39311,0.48303,0.25327,7.723e-05,7.723e-05,7.723e-05
25,3331.82,0.36794,0.45181,0.16642,0.85452,0.90381,0.89272,0.57718,0.39281,0.48321,0.25326,7.624e-05,7.624e-05,7.624e-05
26,3464.99,0.36306,0.44277,0.16207,0.87324,0.91821,0.90819,0.5867,0.39754,0.46991,0.263,7.525e-05,7.525e-05,7.525e-05
27,3598.47,0.36747,0.44141,0.16146,0.88186,0.90701,0.91095,0.58428,0.40459,0.47279,0.26308,7.426e-05,7.426e-05,7.426e-05
28,3731.6,0.35961,0.43754,0.16134,0.86851,0.8994,0.89622,0.57611,0.39803,0.46956,0.26199,7.327e-05,7.327e-05,7.327e-05
29,3864.79,0.35824,0.43346,0.15932,0.87218,0.88974,0.87854,0.56565,0.41763,0.46598,0.27414,7.228e-05,7.228e-05,7.228e-05
30,3998.13,0.35215,0.42776,0.15588,0.89722,0.91797,0.91507,0.58995,0.39892,0.45191,0.26026,7.129e-05,7.129e-05,7.129e-05
31,4131.65,0.35572,0.42577,0.16006,0.89026,0.90366,0.90838,0.58907,0.3984,0.45313,0.26443,7.03e-05,7.03e-05,7.03e-05
32,4265.03,0.35181,0.41799,0.15565,0.87956,0.89978,0.90226,0.58635,0.41149,0.45972,0.27014,6.931e-05,6.931e-05,6.931e-05
33,4398.1,0.34678,0.42111,0.15744,0.89667,0.91824,0.91445,0.59133,0.40559,0.45216,0.27027,6.832e-05,6.832e-05,6.832e-05
34,4531.38,0.34913,0.42183,0.16028,0.91096,0.92077,0.93168,0.59375,0.40882,0.44878,0.26661,6.733e-05,6.733e-05,6.733e-05
35,4664.89,0.34617,0.41346,0.15354,0.89495,0.90165,0.92242,0.58525,0.40849,0.45581,0.26837,6.634e-05,6.634e-05,6.634e-05
36,4798.15,0.3514,0.41449,0.15658,0.89542,0.90771,0.9127,0.58885,0.4004,0.4448,0.26813,6.535e-05,6.535e-05,6.535e-05
37,4931.25,0.34156,0.40956,0.15237,0.88585,0.93506,0.92048,0.59059,0.40366,0.44417,0.26664,6.436e-05,6.436e-05,6.436e-05
38,5064.44,0.34551,0.41077,0.15085,0.89677,0.91701,0.91659,0.5956,0.39938,0.44803,0.26275,6.337e-05,6.337e-05,6.337e-05
39,5197.97,0.33563,0.40596,0.14792,0.88672,0.90829,0.90255,0.57654,0.42004,0.44791,0.27596,6.238e-05,6.238e-05,6.238e-05
40,5331.19,0.33732,0.4043,0.14723,0.90246,0.90827,0.91102,0.58829,0.40956,0.44267,0.27217,6.139e-05,6.139e-05,6.139e-05
41,5464.43,0.33119,0.40011,0.14328,0.90386,0.92642,0.92509,0.5929,0.40613,0.44083,0.2721,6.04e-05,6.04e-05,6.04e-05
42,5597.52,0.3294,0.39909,0.14401,0.91314,0.92752,0.93214,0.5914,0.41179,0.44565,0.27846,5.941e-05,5.941e-05,5.941e-05
