epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1017,1.63223,3.22312,1.48743,0.06607,0.05369,0.00025,5e-05,3.6498,845.141,16.8579,0.00329749,0.00329749,0.0703226
2,103.141,1.58712,2.66689,1.48033,0.22458,0.07794,0.0109,0.00453,3.35704,19.4697,4.02964,0.00656518,0.00656518,0.0402569
3,139.217,1.55265,2.46177,1.46545,0.40257,0.01278,0.00847,0.00261,3.99398,155.724,4.02032,0.00976687,0.00976687,0.0101253
4,173.789,1.51107,2.30548,1.44057,0.25973,0.32996,0.15947,0.0886,1.78975,4.31115,1.87501,0.009703,0.009703,0.009703
5,208.551,1.47485,2.13608,1.42774,0.41323,0.1335,0.07297,0.04063,1.92541,6.28817,1.96801,0.009604,0.009604,0.009604
6,242.91,1.44716,1.96474,1.39258,0.31992,0.53328,0.40842,0.23694,1.54873,2.49542,1.64109,0.009505,0.009505,0.009505
7,277.459,1.42049,1.90137,1.39325,0.29233,0.43187,0.29171,0.17619,1.53079,2.72911,1.62404,0.009406,0.009406,0.009406
8,311.997,1.39569,1.78091,1.37706,0.43627,0.40992,0.39903,0.23926,1.51708,2.53829,1.64169,0.009307,0.009307,0.009307
9,346.457,1.38246,1.7125,1.38052,0.39333,0.51198,0.42801,0.26306,1.444,2.35287,1.53497,0.009208,0.009208,0.009208
10,380.991,1.35395,1.68244,1.35031,0.48802,0.48705,0.49546,0.29615,1.4697,2.10669,1.59326,0.009109,0.009109,0.009109
11,415.517,1.34738,1.58007,1.34062,0.58659,0.51318,0.59317,0.37698,1.3618,1.88209,1.48401,0.00901,0.00901,0.00901
12,449.999,1.33187,1.53005,1.35052,0.46814,0.6173,0.5838,0.36357,1.38031,1.93501,1.52003,0.008911,0.008911,0.008911
13,484.424,1.32631,1.52782,1.33307,0.52513,0.59322,0.6249,0.39539,1.36222,1.68018,1.48561,0.008812,0.008812,0.008812
14,518.881,1.33325,1.46542,1.33611,0.55909,0.57157,0.6096,0.37529,1.42119,1.73853,1.52762,0.008713,0.008713,0.008713
15,553.343,1.30543,1.4358,1.31616,0.55967,0.62276,0.63454,0.38836,1.38993,1.73521,1.55132,0.008614,0.008614,0.008614
16,587.701,1.30315,1.35702,1.3121,0.60044,0.61219,0.66889,0.41991,1.33553,1.54725,1.47029,0.008515,0.008515,0.008515
17,622.125,1.28725,1.366,1.31339,0.58898,0.62111,0.68296,0.42841,1.35413,1.52029,1.49698,0.008416,0.008416,0.008416
18,656.513,1.28442,1.30749,1.30938,0.62365,0.6271,0.68909,0.4293,1.3551,1.50882,1.48793,0.008317,0.008317,0.008317
19,690.943,1.2921,1.31982,1.31336,0.57833,0.62715,0.66668,0.42494,1.28471,1.53474,1.43051,0.008218,0.008218,0.008218
