class,split,AP50_95
1-5-Volt-Battery,val,0.6276
3-3-Volt-Battery,val,0.5969
7-Segment-Display,val,0.6326
Arduino-Mega,val,0.8512
Arduino-Nano,val,0.6622
Arduino-Uno,val,0.8715
BJT-Transistor,val,0.3892
Breadboard,val,0.7786
Bridge-Rectifier,val,0.8144
Buck-Converter,val,0.7833
Capacitor-10mf,val,0.4844
Capacitor-470mf,val,0.4808
DC-Motor,val,0.5515
Diode,val,0.656
ESP32-CAM,val,0.6723
FT-232-USB-Serial-Module,val,0.6608
Film-Capacitor,val,0.4762
Fuse,val,0.2985
Fuse-Base,val,0.5669
GSM-Module,val,0.7589
Heat-Sink,val,0.8295
Humidity-Sensor,val,0.6927
IC-Base-14-Pin,val,0.6474
IC-Base-28-Pin,val,0.6966
IC-Chip,val,0.5052
IGBT,val,0.447
IR-Sensor,val,0.5995
Keypad,val,0.4429
Low-Voltage-Ceramic-Capacitor,val,0.3285
MOSFET,val,0.4917
Motion-Sensor,val,0.7975
NTC-Thermistor,val,0.4366
Pin-Header,val,0.4569
Raindrops-Module,val,0.7792
Relay-Module,val,0.7565
Resistor,val,0.5966
Rocker-Switch,val,0.5895
Servo-Motor,val,0.5088
Soil-Moisture-Sensor,val,0.6928
TCRT5000,val,0.4999
Tact-Switch,val,0.3643
Taper-Potentiometer,val,0.4829
Trimmer-Potentiometer,val,0.5004
Water-Sensor,val,0.8248
Zener-Diode,val,0.3051
1-5-Volt-Battery,test,0.6122
3-3-Volt-Battery,test,0.6254
7-Segment-Display,test,0.5855
Arduino-Mega,test,0.8112
Arduino-Nano,test,0.6802
Arduino-Uno,test,0.995
BJT-Transistor,test,0.5588
Breadboard,test,0.7931
Bridge-Rectifier,test,0.7491
Buck-Converter,test,0.7471
Capacitor-10mf,test,0.5125
Capacitor-470mf,test,0.5792
DC-Motor,test,0.4041
Diode,test,0.646
ESP32,test,0.0833
ESP32-CAM,test,0.6441
FT-232-USB-Serial-Module,test,0.6244
Film-Capacitor,test,0.7038
Fuse,test,0.4405
Fuse-Base,test,0.7047
GSM-Module,test,0.7752
Heat-Sink,test,0.8955
Humidity-Sensor,test,0.7054
IC-Base-14-Pin,test,0.6312
IC-Base-28-Pin,test,0.6811
IC-Chip,test,0.6217
IGBT,test,0.5203
IR-Sensor,test,0.5784
Keypad,test,0.5671
Low-Voltage-Ceramic-Capacitor,test,0.5763
MOSFET,test,0.4848
Motion-Sensor,test,0.7246
NTC-Thermistor,test,0.4352
Pin-Header,test,0.4783
Raindrops-Module,test,0.7517
Relay-Module,test,0.7412
Resistor,test,0.669
Rocker-Switch,test,0.6382
Servo-Motor,test,0.3983
Soil-Moisture-Sensor,test,0.6857
TCRT5000,test,0.3933
Tact-Switch,test,0.4848
Taper-Potentiometer,test,0.5149
Trimmer-Potentiometer,test,0.4534
Water-Sensor,test,0.7931
Zener-Diode,test,0.2869
