epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3126,1.65236,3.51381,1.66999,0,0,0,0,nan,nan,nan,0.00329749,0.00329749,0.0703226
2,110.966,1.60341,2.80991,1.62087,0.00752,0.0963,0.00393,0.00147,2.81284,24.1285,4.54965,0.00656518,0.00656518,0.0402569
3,173.13,1.57912,2.6107,1.61122,0.08624,0.26158,0.05868,0.02742,2.13371,22.3495,2.61605,0.00976687,0.00976687,0.0101253
4,221.331,1.5244,2.43665,1.57409,0.14916,0.29076,0.08835,0.04015,1.9173,5.24952,2.39044,0.009703,0.009703,0.009703
5,269.031,1.49277,2.2882,1.55114,0.17746,0.30118,0.11465,0.05718,1.81467,4.52064,2.17726,0.009604,0.009604,0.009604
6,317.172,1.45962,2.16215,1.52965,0.21485,0.17468,0.06771,0.0375,1.72533,13.2351,2.04918,0.009505,0.009505,0.009505
7,364.464,1.45497,2.06129,1.53441,0.31419,0.40219,0.28967,0.15407,1.70941,2.95715,2.01168,0.009406,0.009406,0.009406
8,411.955,1.42467,1.96627,1.50903,0.40228,0.41788,0.34829,0.19824,1.51547,2.58374,1.81085,0.009307,0.009307,0.009307
9,459.394,1.41178,1.87492,1.50502,0.30833,0.4628,0.34351,0.18851,1.58563,2.45828,1.88724,0.009208,0.009208,0.009208
10,506.766,1.42069,1.87975,1.50915,0.29739,0.36143,0.25849,0.14618,1.63224,3.27282,1.93092,0.009109,0.009109,0.009109
11,554.14,1.37445,1.73558,1.46362,0.49389,0.46332,0.49252,0.29297,1.46774,2.09473,1.73706,0.00901,0.00901,0.00901
12,601.594,1.37781,1.73736,1.48541,0.41673,0.46003,0.43667,0.25486,1.49021,2.3527,1.78322,0.008911,0.008911,0.008911
13,648.978,1.37472,1.69958,1.46965,0.45348,0.61445,0.57046,0.33594,1.40901,1.86285,1.69359,0.008812,0.008812,0.008812
14,696.41,1.34151,1.61606,1.44452,0.46223,0.49116,0.5108,0.29349,1.53405,1.95361,1.84147,0.008713,0.008713,0.008713
15,743.737,1.34214,1.56644,1.44017,0.45091,0.58519,0.55651,0.34343,1.38345,1.91305,1.66864,0.008614,0.008614,0.008614
16,791.198,1.32759,1.55553,1.4249,0.53459,0.59457,0.58816,0.36105,1.3847,1.82407,1.65839,0.008515,0.008515,0.008515
17,838.658,1.31497,1.49118,1.41752,0.49875,0.55051,0.53689,0.31161,1.46416,1.89362,1.76078,0.008416,0.008416,0.008416
18,885.909,1.32207,1.46543,1.42811,0.57305,0.58767,0.63605,0.38033,1.40726,1.59614,1.6986,0.008317,0.008317,0.008317
19,933.21,1.31402,1.48437,1.42209,0.5272,0.57705,0.58695,0.34947,1.4115,1.82528,1.69845,0.008218,0.008218,0.008218
20,980.504,1.32318,1.44871,1.43741,0.53663,0.60699,0.62231,0.37539,1.37624,1.57672,1.66908,0.008119,0.008119,0.008119
21,1027.76,1.30027,1.38135,1.39829,0.51432,0.57142,0.56656,0.3397,1.33503,1.88537,1.65387,0.00802,0.00802,0.00802
22,1075.01,1.31155,1.38912,1.42155,0.60765,0.60367,0.62782,0.3793,1.38035,1.60441,1.7007,0.007921,0.007921,0.007921
23,1122.27,1.26963,1.33005,1.38992,0.54673,0.63665,0.65551,0.39665,1.34934,1.54966,1.65817,0.007822,0.007822,0.007822
24,1169.7,1.27328,1.30158,1.39571,0.59788,0.59463,0.65672,0.39017,1.42473,1.64238,1.72251,0.007723,0.007723,0.007723
25,1217.04,1.28191,1.33088,1.40661,0.55557,0.58816,0.60744,0.35826,1.40786,1.69065,1.68759,0.007624,0.007624,0.007624
26,1264.43,1.25799,1.28745,1.38713,0.60089,0.64045,0.67421,0.40849,1.36949,1.56834,1.66479,0.007525,0.007525,0.007525
27,1311.93,1.28123,1.27101,1.38857,0.63114,0.6122,0.6757,0.40949,1.38419,1.51194,1.64678,0.007426,0.007426,0.007426
28,1359.49,1.25509,1.25381,1.38467,0.53669,0.59194,0.609,0.36832,1.42373,1.61901,1.70778,0.007327,0.007327,0.007327
29,1406.81,1.2495,1.22552,1.36759,0.64522,0.6263,0.71063,0.43901,1.32371,1.37638,1.60602,0.007228,0.007228,0.007228
30,1454.21,1.24519,1.22001,1.37362,0.61545,0.64115,0.6921,0.41158,1.37637,1.46698,1.67193,0.007129,0.007129,0.007129
31,1501.56,1.22377,1.19116,1.36381,0.65695,0.67043,0.72922,0.44983,1.32395,1.2411,1.62133,0.00703,0.00703,0.00703
32,1549,1.22725,1.17256,1.35081,0.63318,0.64666,0.72884,0.44347,1.34749,1.40466,1.63972,0.006931,0.006931,0.006931
33,1596.27,1.22353,1.16173,1.36885,0.67603,0.64092,0.72498,0.44426,1.33641,1.36876,1.62706,0.006832,0.006832,0.006832
34,1643.44,1.22197,1.16112,1.36521,0.66027,0.65335,0.70279,0.41724,1.37936,1.33768,1.65065,0.006733,0.006733,0.006733
35,1690.7,1.2324,1.15643,1.36586,0.70083,0.68214,0.75163,0.46688,1.30466,1.25734,1.58802,0.006634,0.006634,0.006634
36,1737.97,1.22215,1.15618,1.36127,0.68139,0.69459,0.76744,0.47961,1.28601,1.26741,1.54995,0.006535,0.006535,0.006535
