class,split,AP50_95
1-5-Volt-Battery,val,0.6058
3-3-Volt-Battery,val,0.5779
7-Segment-Display,val,0.5882
9-Volt-Battery,val,0.7894
Arduino-Mega,val,0.8401
Arduino-Nano,val,0.6419
Arduino-Uno,val,0.7609
BJT-Transistor,val,0.3977
Bluetooth-Module,val,0.6955
Breadboard,val,0.7525
Bridge-Rectifier,val,0.7877
Buck-Converter,val,0.7512
Buzzer,val,0.6246
Capacitor-10mf,val,0.4647
Capacitor-470mf,val,0.4641
DC-Motor,val,0.6101
Diode,val,0.6967
ESP32,val,0.7245
ESP32-CAM,val,0.6746
FT-232-USB-Serial-Module,val,0.6224
Film-Capacitor,val,0.6229
Fuse,val,0.3753
Fuse-Base,val,0.5677
GSM-Module,val,0.7858
Gas-Sensor,val,0.7222
Heat-Sink,val,0.8052
High-Voltage-Ceramic-Capacitor,val,0.654
Humidity-Sensor,val,0.673
IC-Base-14-Pin,val,0.6744
IC-Base-28-Pin,val,0.6982
IC-Chip,val,0.5959
IGBT,val,0.461
IR-Sensor,val,0.5661
Inductor,val,0.6329
Keypad,val,0.5396
LCD-Display,val,0.8837
LDR-Sensor,val,0.5343
LED-Light,val,0.6711
Low-Voltage-Ceramic-Capacitor,val,0.3519
MLC-Capacitor,val,0.5753
MOSFET,val,0.4534
Motion-Sensor,val,0.8032
Motor-Driver,val,0.8114
NTC-Thermistor,val,0.4024
OLED-Display,val,0.7227
Pin-Header,val,0.4518
Push-Switch,val,0.542
RFID-Scanner,val,0.9417
Raindrops-Module,val,0.79
Relay-Module,val,0.7671
Resistor,val,0.567
Rocker-Switch,val,0.5721
Servo-Motor,val,0.6362
Soil-Moisture-Sensor,val,0.6788
Sonar-Sensor,val,0.7291
TCRT5000,val,0.5347
Tact-Switch,val,0.3242
Taper-Potentiometer,val,0.5047
Trimmer-Potentiometer,val,0.479
Water-Sensor,val,0.7987
Zener-Diode,val,0.2807
1-5-Volt-Battery,test,0.5979
3-3-Volt-Battery,test,0.6462
7-Segment-Display,test,0.659
9-Volt-Battery,test,0.7253
Arduino-Mega,test,0.8181
Arduino-Nano,test,0.6534
Arduino-Uno,test,0.8395
BJT-Transistor,test,0.5248
Bluetooth-Module,test,0.6762
Breadboard,test,0.7863
Bridge-Rectifier,test,0.7904
Buck-Converter,test,0.7757
Buzzer,test,0.5468
Capacitor-10mf,test,0.5471
Capacitor-470mf,test,0.5777
DC-Motor,test,0.4508
Diode,test,0.6931
ESP32,test,0.4969
ESP32-CAM,test,0.6678
FT-232-USB-Serial-Module,test,0.6039
Film-Capacitor,test,0.6396
Fuse,test,0.435
Fuse-Base,test,0.6469
GSM-Module,test,0.779
Gas-Sensor,test,0.7558
Heat-Sink,test,0.6761
High-Voltage-Ceramic-Capacitor,test,0.5821
Humidity-Sensor,test,0.7222
IC-Base-14-Pin,test,0.6604
IC-Base-28-Pin,test,0.6609
IC-Chip,test,0.6568
IGBT,test,0.3604
IR-Sensor,test,0.6204
Inductor,test,0.6827
Keypad,test,0.6319
LCD-Display,test,0.8513
LDR-Sensor,test,0.5848
LED-Light,test,0.6628
Low-Voltage-Ceramic-Capacitor,test,0.5023
MLC-Capacitor,test,0.6373
MOSFET,test,0.5014
Motion-Sensor,test,0.7067
Motor-Driver,test,0.8145
NTC-Thermistor,test,0.4303
OLED-Display,test,0.7795
Pin-Header,test,0.3642
Push-Switch,test,0.606
RFID-Scanner,test,0.7599
Raindrops-Module,test,0.7592
Relay-Module,test,0.698
Resistor,test,0.6523
Rocker-Switch,test,0.5928
Servo-Motor,test,0.6533
Soil-Moisture-Sensor,test,0.7175
Sonar-Sensor,test,0.8088
TCRT5000,test,0.3765
Tact-Switch,test,0.3632
Taper-Potentiometer,test,0.5057
Trimmer-Potentiometer,test,0.4341
Water-Sensor,test,0.8392
Zener-Diode,test,0.3455
