epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7169,1.67239,4.20537,0.01468,0.01259,0.21402,0.01066,0.00334,2.38323,6.77853,0.0334,0.00329749,0.00329749,0.0703226
2,87.0532,1.68921,2.83173,0.01497,0.24114,0.15142,0.06217,0.02605,2.17517,5.61431,0.02819,0.00656518,0.00656518,0.0402569
3,129.078,1.6595,2.5001,0.01486,0.21415,0.185,0.05705,0.02698,2.04336,6.19465,0.02706,0.00976687,0.00976687,0.0101253
4,171.237,1.64207,2.26749,0.0146,0.31957,0.32764,0.23417,0.12142,1.81044,3.19876,0.02335,0.009703,0.009703,0.009703
5,213.494,1.61278,2.08669,0.01424,0.38807,0.37626,0.3151,0.17188,1.68182,3.57655,0.02117,0.009604,0.009604,0.009604
6,255.653,1.55884,1.95304,0.01321,0.36797,0.4076,0.32139,0.18315,1.64885,2.92748,0.02104,0.009505,0.009505,0.009505
7,297.853,1.52878,1.82722,0.01357,0.43331,0.44387,0.41591,0.24842,1.65215,2.40909,0.02083,0.009406,0.009406,0.009406
8,340.106,1.51066,1.732,0.01291,0.51809,0.46696,0.47094,0.27613,1.62017,2.28403,0.01994,0.009307,0.009307,0.009307
9,382.208,1.52151,1.64498,0.01325,0.51776,0.48305,0.52545,0.30822,1.55096,2.16605,0.01902,0.009208,0.009208,0.009208
10,424.264,1.47788,1.59135,0.01276,0.47057,0.45795,0.42928,0.25596,1.55868,2.38165,0.01902,0.009109,0.009109,0.009109
11,466.322,1.44283,1.52625,0.01238,0.6542,0.59748,0.68439,0.42525,1.45894,1.55189,0.01769,0.00901,0.00901,0.00901
12,508.483,1.46159,1.48664,0.01282,0.56681,0.56345,0.60917,0.37583,1.46282,1.80125,0.01777,0.008911,0.008911,0.008911
13,550.412,1.44478,1.45954,0.01229,0.60707,0.59268,0.67026,0.4037,1.50213,1.60215,0.01789,0.008812,0.008812,0.008812
14,592.364,1.42932,1.41669,0.01207,0.64852,0.62623,0.70604,0.4288,1.4707,1.44103,0.0179,0.008713,0.008713,0.008713
15,634.275,1.41303,1.36734,0.01193,0.68358,0.5958,0.69395,0.43591,1.42246,1.47146,0.0168,0.008614,0.008614,0.008614
16,676.123,1.39321,1.3232,0.01162,0.66752,0.61784,0.71802,0.44494,1.47144,1.50956,0.01761,0.008515,0.008515,0.008515
17,717.907,1.39334,1.3407,0.0117,0.6666,0.69986,0.75437,0.47713,1.41339,1.30672,0.01668,0.008416,0.008416,0.008416
18,759.769,1.40185,1.27424,0.01186,0.7058,0.64908,0.74603,0.45974,1.43402,1.35841,0.01676,0.008317,0.008317,0.008317
19,801.441,1.38591,1.30585,0.0115,0.69458,0.66173,0.72837,0.46041,1.41578,1.29793,0.01676,0.008218,0.008218,0.008218
20,843.185,1.39292,1.27516,0.01194,0.7129,0.72032,0.78046,0.49127,1.41541,1.14313,0.01677,0.008119,0.008119,0.008119
21,885.164,1.38642,1.20592,0.0114,0.74632,0.73027,0.81503,0.51233,1.41595,1.12318,0.01715,0.00802,0.00802,0.00802
