epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0732,1.62079,4.0806,0.014,0.0192,0.04519,0.00309,0.00123,2.52442,20.3526,0.03929,0.00329749,0.00329749,0.0703226
2,86.2818,1.66202,2.73256,0.01455,0.19691,0.25863,0.11233,0.05239,1.92177,5.2146,0.02525,0.00656518,0.00656518,0.0402569
3,128.213,1.64613,2.46839,0.0146,0.08016,0.16017,0.03669,0.01635,2.35505,13.0706,0.03447,0.00976687,0.00976687,0.0101253
4,169.998,1.64275,2.25057,0.01427,0.27943,0.29211,0.19573,0.10094,1.73152,4.02135,0.02197,0.009703,0.009703,0.009703
5,211.889,1.59699,2.02388,0.01384,0.2959,0.21343,0.14119,0.06968,2.12191,4.32623,0.0278,0.009604,0.009604,0.009604
6,253.612,1.55252,1.90079,0.01325,0.25932,0.26314,0.19966,0.11006,1.73598,3.57817,0.02203,0.009505,0.009505,0.009505
7,295.493,1.52498,1.81141,0.01339,0.44209,0.42082,0.41871,0.24392,1.546,2.44783,0.01896,0.009406,0.009406,0.009406
8,337.321,1.49837,1.70879,0.01289,0.4762,0.47322,0.4566,0.25534,1.56223,2.356,0.01904,0.009307,0.009307,0.009307
9,379.305,1.48268,1.6036,0.01287,0.51614,0.49787,0.53242,0.3039,1.50794,1.98551,0.01831,0.009208,0.009208,0.009208
10,421.215,1.48922,1.57051,0.0129,0.50014,0.46078,0.46749,0.27069,1.6064,2.24457,0.01975,0.009109,0.009109,0.009109
11,462.966,1.44868,1.47753,0.01222,0.5684,0.51349,0.56121,0.33636,1.49215,1.79381,0.01796,0.00901,0.00901,0.00901
12,504.865,1.4339,1.49553,0.01242,0.52087,0.59348,0.57937,0.34236,1.48177,1.84852,0.01791,0.008911,0.008911,0.008911
13,546.691,1.4374,1.46276,0.01204,0.5779,0.61221,0.64248,0.38519,1.45314,1.73239,0.01739,0.008812,0.008812,0.008812
14,588.546,1.42916,1.38624,0.01214,0.61058,0.6035,0.65363,0.3948,1.4698,1.53005,0.01762,0.008713,0.008713,0.008713
15,630.474,1.42219,1.35041,0.01182,0.63242,0.60385,0.67214,0.38718,1.49635,1.44868,0.01764,0.008614,0.008614,0.008614
16,672.223,1.39537,1.31756,0.0116,0.57227,0.62767,0.65725,0.39979,1.43195,1.47584,0.017,0.008515,0.008515,0.008515
17,714.019,1.38072,1.26887,0.01144,0.64715,0.64551,0.69644,0.43094,1.45018,1.30558,0.01724,0.008416,0.008416,0.008416
18,755.871,1.38557,1.24942,0.01159,0.63604,0.6456,0.67777,0.41199,1.45961,1.40772,0.01763,0.008317,0.008317,0.008317
19,797.631,1.36654,1.28686,0.01137,0.63887,0.65651,0.70677,0.43422,1.43326,1.24804,0.01717,0.008218,0.008218,0.008218
20,839.491,1.39459,1.26615,0.0118,0.6723,0.66329,0.71609,0.44675,1.41877,1.18114,0.01686,0.008119,0.008119,0.008119
21,881.347,1.35878,1.15421,0.01105,0.62062,0.64681,0.68204,0.41505,1.46691,1.37473,0.01741,0.00802,0.00802,0.00802
22,923.038,1.38573,1.18972,0.01139,0.63751,0.69616,0.73159,0.45131,1.38789,1.19113,0.01609,0.007921,0.007921,0.007921
23,964.877,1.33227,1.11688,0.01097,0.71921,0.71347,0.76978,0.48175,1.3889,1.12706,0.01638,0.007822,0.007822,0.007822
24,1006.78,1.33052,1.14448,0.0111,0.70263,0.67653,0.74019,0.44603,1.43328,1.25859,0.01695,0.007723,0.007723,0.007723
25,1048.5,1.33558,1.16155,0.01121,0.67408,0.69313,0.7418,0.46157,1.37754,1.16009,0.01619,0.007624,0.007624,0.007624
26,1090.29,1.32339,1.12166,0.01095,0.65146,0.71842,0.7641,0.4692,1.40596,1.17128,0.01657,0.007525,0.007525,0.007525
27,1132.01,1.33425,1.13049,0.01083,0.69295,0.72513,0.74635,0.45818,1.43038,1.19773,0.01687,0.007426,0.007426,0.007426
28,1173.77,1.32754,1.09559,0.01097,0.73361,0.70565,0.77514,0.47247,1.44863,1.13651,0.01694,0.007327,0.007327,0.007327
29,1215.56,1.33171,1.06324,0.01082,0.73201,0.69008,0.75542,0.46247,1.43232,1.11894,0.0167,0.007228,0.007228,0.007228
