epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7656,1.55927,3.37495,1.71384,0.02278,0.18499,0.01035,0.00456,2.53875,122.964,5.07299,0.00329749,0.00329749,0.0703226
2,113.495,1.54008,2.65406,1.71872,0.2144,0.08867,0.01452,0.00755,2.73808,23.2089,4.5552,0.00656518,0.00656518,0.0402569
3,159.874,1.52486,2.45011,1.71294,0.51783,0.16158,0.1255,0.06816,1.96255,5.86218,2.70613,0.00976687,0.00976687,0.0101253
4,206.02,1.50068,2.30658,1.68127,0.15935,0.19458,0.07957,0.04105,2.22004,6.01827,3.0204,0.009703,0.009703,0.009703
5,252.121,1.44694,2.10574,1.65122,0.24687,0.35409,0.23052,0.12667,1.6753,3.34994,2.16915,0.009604,0.009604,0.009604
6,298.006,1.41643,1.95553,1.60527,0.27564,0.39469,0.23719,0.13938,1.64563,3.43143,2.15995,0.009505,0.009505,0.009505
7,343.816,1.39171,1.83742,1.6044,0.44115,0.39936,0.3972,0.24971,1.53549,2.74698,1.93986,0.009406,0.009406,0.009406
8,389.693,1.36791,1.75853,1.57281,0.39333,0.50031,0.45198,0.28245,1.43696,2.1323,1.8652,0.009307,0.009307,0.009307
9,435.462,1.36007,1.64036,1.57799,0.47003,0.58219,0.5349,0.33615,1.38304,2.12072,1.80608,0.009208,0.009208,0.009208
10,481.224,1.34962,1.63343,1.55509,0.4625,0.52623,0.48947,0.30924,1.36515,2.26406,1.77039,0.009109,0.009109,0.009109
11,526.842,1.31326,1.5257,1.526,0.53788,0.58671,0.60168,0.37565,1.39817,1.73257,1.81031,0.00901,0.00901,0.00901
12,572.578,1.32145,1.51209,1.54221,0.55138,0.63543,0.64208,0.41287,1.34008,1.6533,1.72368,0.008911,0.008911,0.008911
13,618.338,1.29978,1.46925,1.50631,0.47121,0.41484,0.39992,0.25209,1.42104,3.03537,1.84745,0.008812,0.008812,0.008812
14,664.053,1.30481,1.43753,1.50547,0.55277,0.57193,0.60338,0.38496,1.33526,1.76693,1.72956,0.008713,0.008713,0.008713
15,709.771,1.28005,1.37202,1.48868,0.58613,0.64559,0.68217,0.43824,1.29996,1.51334,1.73664,0.008614,0.008614,0.008614
16,755.528,1.26647,1.32039,1.48073,0.57344,0.58151,0.6176,0.3891,1.3724,1.63959,1.78609,0.008515,0.008515,0.008515
17,801.16,1.2531,1.29915,1.47465,0.62489,0.67568,0.71162,0.46636,1.27319,1.43975,1.72189,0.008416,0.008416,0.008416
18,846.915,1.26261,1.26494,1.48928,0.61404,0.65089,0.71565,0.45575,1.30616,1.32844,1.65047,0.008317,0.008317,0.008317
19,892.475,1.25214,1.28814,1.46263,0.65794,0.68319,0.73564,0.48017,1.28619,1.34691,1.67301,0.008218,0.008218,0.008218
20,938.153,1.23962,1.22952,1.46683,0.67067,0.69948,0.76602,0.4989,1.26036,1.3322,1.64113,0.008119,0.008119,0.008119
21,983.878,1.25049,1.22717,1.45352,0.68071,0.70474,0.7693,0.50072,1.26759,1.30191,1.67913,0.00802,0.00802,0.00802
22,1029.6,1.21572,1.19841,1.43423,0.72157,0.67795,0.76437,0.50452,1.25021,1.2882,1.62351,0.007921,0.007921,0.007921
23,1075.15,1.21641,1.17405,1.44055,0.72001,0.69389,0.78214,0.51495,1.24877,1.28112,1.61713,0.007822,0.007822,0.007822
24,1120.84,1.21444,1.155,1.43682,0.72353,0.73855,0.80728,0.526,1.23816,1.17581,1.6223,0.007723,0.007723,0.007723
25,1166.45,1.19816,1.15594,1.42184,0.73842,0.76265,0.82991,0.54343,1.23471,1.10239,1.60951,0.007624,0.007624,0.007624
26,1212.09,1.21046,1.12715,1.42609,0.73299,0.75752,0.82943,0.53681,1.24436,1.1482,1.62414,0.007525,0.007525,0.007525
27,1257.61,1.19523,1.10172,1.41293,0.73227,0.80727,0.84276,0.54933,1.22954,1.09363,1.6197,0.007426,0.007426,0.007426
28,1303.3,1.17981,1.06846,1.41217,0.74967,0.79705,0.84779,0.54625,1.26939,1.07129,1.6148,0.007327,0.007327,0.007327
