epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.4783,1.55573,3.27385,1.69574,0.04553,0.03295,0.00033,7e-05,3.79851,963.613,12.7074,0.00329749,0.00329749,0.0703226
2,136.747,1.55468,2.60611,1.69126,0.46827,0.07069,0.03514,0.01755,2.26987,29.0812,2.91371,0.00656518,0.00656518,0.0402569
3,184.278,1.51788,2.40076,1.65126,0.42368,0.05672,0.02828,0.01174,2.73774,6.44851,3.70242,0.00976687,0.00976687,0.0101253
4,231.677,1.49146,2.21493,1.61742,0.20712,0.26141,0.12507,0.06102,1.84979,4.33906,2.37,0.009703,0.009703,0.009703
5,278.891,1.43129,1.99235,1.57269,0.264,0.35462,0.25561,0.14335,1.72894,3.23962,2.23046,0.009604,0.009604,0.009604
6,326.066,1.40863,1.90003,1.54244,0.39274,0.4053,0.36674,0.20654,1.58589,2.75801,1.99874,0.009505,0.009505,0.009505
7,373.287,1.39358,1.8067,1.54819,0.3569,0.53014,0.42408,0.23564,1.54736,2.55762,1.95497,0.009406,0.009406,0.009406
8,420.536,1.36512,1.6922,1.51784,0.31906,0.31028,0.24198,0.13889,1.79533,3.71765,2.2597,0.009307,0.009307,0.009307
9,467.551,1.34458,1.59314,1.50737,0.43199,0.54023,0.50652,0.29567,1.50512,2.10407,1.91359,0.009208,0.009208,0.009208
10,514.774,1.34675,1.58311,1.5083,0.41227,0.47396,0.45726,0.27095,1.43142,2.30233,1.79862,0.009109,0.009109,0.009109
11,562.065,1.32023,1.48772,1.47727,0.42373,0.46744,0.45182,0.25871,1.5018,2.21069,1.8908,0.00901,0.00901,0.00901
12,608.971,1.31165,1.47517,1.48522,0.5939,0.54944,0.61179,0.38109,1.36627,1.7626,1.72058,0.008911,0.008911,0.008911
13,656.02,1.29546,1.44913,1.45834,0.57193,0.60706,0.62669,0.39116,1.36812,1.70044,1.6898,0.008812,0.008812,0.008812
14,703.242,1.27911,1.36381,1.44409,0.6017,0.5995,0.6447,0.4029,1.31582,1.55679,1.67099,0.008713,0.008713,0.008713
15,750.219,1.26361,1.33201,1.43409,0.56385,0.60974,0.63602,0.39696,1.35949,1.57307,1.7312,0.008614,0.008614,0.008614
16,797.2,1.2636,1.32921,1.42762,0.61002,0.631,0.66651,0.4212,1.31994,1.48712,1.65256,0.008515,0.008515,0.008515
17,844.305,1.24596,1.26863,1.41074,0.61352,0.63395,0.6757,0.40466,1.33145,1.51993,1.70375,0.008416,0.008416,0.008416
18,891.274,1.24173,1.259,1.42019,0.5882,0.5627,0.60824,0.36996,1.37411,1.68427,1.73158,0.008317,0.008317,0.008317
19,938.292,1.25121,1.26772,1.41858,0.63055,0.61702,0.69067,0.41527,1.36486,1.47762,1.72608,0.008218,0.008218,0.008218
20,985.384,1.2441,1.23501,1.42091,0.63648,0.6797,0.71261,0.4512,1.26541,1.35182,1.63977,0.008119,0.008119,0.008119
21,1032.57,1.21982,1.15878,1.38136,0.69702,0.68012,0.74549,0.46717,1.26768,1.26499,1.59009,0.00802,0.00802,0.00802
22,1079.63,1.22573,1.18274,1.39376,0.66303,0.66248,0.7296,0.45421,1.2899,1.34413,1.65685,0.007921,0.007921,0.007921
23,1126.63,1.21093,1.15968,1.38151,0.66517,0.66499,0.72679,0.46757,1.26429,1.33157,1.62752,0.007822,0.007822,0.007822
24,1173.73,1.20393,1.14711,1.38495,0.64578,0.68334,0.72421,0.44393,1.32852,1.35361,1.66777,0.007723,0.007723,0.007723
25,1220.66,1.21067,1.14644,1.39169,0.65372,0.69972,0.75128,0.47875,1.26247,1.22382,1.61104,0.007624,0.007624,0.007624
26,1267.59,1.18389,1.10613,1.37333,0.71354,0.67369,0.75082,0.47381,1.27855,1.27562,1.62527,0.007525,0.007525,0.007525
27,1314.41,1.2002,1.09187,1.37517,0.66308,0.68078,0.71752,0.44675,1.31135,1.40756,1.68975,0.007426,0.007426,0.007426
28,1361.35,1.18251,1.08737,1.36569,0.75096,0.73121,0.79809,0.50079,1.30275,1.1983,1.62133,0.007327,0.007327,0.007327
29,1408.32,1.19277,1.07248,1.36667,0.73663,0.71752,0.78571,0.49541,1.28763,1.14801,1.60622,0.007228,0.007228,0.007228
30,1455.26,1.17603,1.05621,1.3652,0.67817,0.75782,0.76897,0.4904,1.24816,1.16643,1.58853,0.007129,0.007129,0.007129
31,1502.31,1.16336,1.00949,1.35404,0.71725,0.74803,0.78154,0.50189,1.28303,1.10768,1.59583,0.00703,0.00703,0.00703
32,1549.33,1.16705,1.00893,1.34094,0.73255,0.77184,0.80686,0.51134,1.26925,1.04255,1.60108,0.006931,0.006931,0.006931
33,1596.49,1.16043,0.99478,1.35766,0.73426,0.73036,0.79966,0.50333,1.2491,1.15097,1.5834,0.006832,0.006832,0.006832
34,1643.55,1.16604,1.00219,1.35888,0.7292,0.7632,0.81188,0.49974,1.28829,1.09291,1.62362,0.006733,0.006733,0.006733
35,1690.56,1.15622,0.97498,1.34652,0.73605,0.74982,0.80441,0.51694,1.23866,1.07235,1.56116,0.006634,0.006634,0.006634
36,1737.7,1.15674,0.97491,1.34744,0.75173,0.75769,0.81755,0.52146,1.23244,1.05524,1.56379,0.006535,0.006535,0.006535
37,1784.85,1.13981,0.95394,1.33691,0.74308,0.72758,0.7896,0.51382,1.23234,1.11575,1.56085,0.006436,0.006436,0.006436
38,1831.76,1.14625,0.95462,1.3291,0.80637,0.79832,0.83843,0.53712,1.26651,0.95379,1.57382,0.006337,0.006337,0.006337
39,1878.83,1.13482,0.92025,1.31641,0.77336,0.81709,0.84769,0.53869,1.25491,1.03904,1.55374,0.006238,0.006238,0.006238
40,1926.03,1.13439,0.93279,1.32935,0.68874,0.7358,0.79482,0.49027,1.28595,1.11255,1.62159,0.006139,0.006139,0.006139
41,1972.94,1.13747,0.91165,1.3168,0.78237,0.80194,0.86168,0.54023,1.26756,0.98181,1.59272,0.00604,0.00604,0.00604
42,2019.93,1.11504,0.91534,1.30755,0.74426,0.79023,0.81219,0.52629,1.23193,1.04239,1.55274,0.005941,0.005941,0.005941
43,2066.88,1.11998,0.90008,1.32063,0.79752,0.78673,0.83823,0.53495,1.26302,0.96358,1.58033,0.005842,0.005842,0.005842
44,2113.87,1.11934,0.90005,1.31085,0.74918,0.81202,0.83976,0.53811,1.21892,0.97071,1.56359,0.005743,0.005743,0.005743
45,2160.67,1.11488,0.87513,1.3061,0.75402,0.8478,0.86415,0.55555,1.21489,0.95216,1.54505,0.005644,0.005644,0.005644
46,2207.77,1.11901,0.8813,1.31426,0.79499,0.80587,0.84974,0.54827,1.22817,0.9427,1.54379,0.005545,0.005545,0.005545
47,2254.81,1.11318,0.86799,1.30974,0.77451,0.83027,0.87166,0.55614,1.23211,0.9368,1.53033,0.005446,0.005446,0.005446
48,2301.96,1.10243,0.86713,1.30791,0.79199,0.79401,0.86028,0.54778,1.22943,0.97004,1.55719,0.005347,0.005347,0.005347
49,2348.83,1.10092,0.86316,1.30188,0.80233,0.83103,0.86177,0.54699,1.21946,0.89291,1.54865,0.005248,0.005248,0.005248
50,2395.71,1.10609,0.85244,1.30798,0.7917,0.82154,0.87057,0.55228,1.2162,0.89683,1.54732,0.005149,0.005149,0.005149
51,2442.6,1.08789,0.84184,1.28597,0.79887,0.82661,0.87566,0.55849,1.20603,0.91301,1.52469,0.00505,0.00505,0.00505
52,2489.6,1.08597,0.84521,1.28999,0.84462,0.80779,0.88129,0.56167,1.22086,0.88845,1.53189,0.004951,0.004951,0.004951
53,2536.64,1.07781,0.84339,1.28005,0.76841,0.84031,0.85094,0.54965,1.21952,0.92793,1.53432,0.004852,0.004852,0.004852
54,2583.56,1.08711,0.83182,1.29242,0.83182,0.82967,0.87945,0.57268,1.21484,0.8682,1.51199,0.004753,0.004753,0.004753
55,2630.58,1.07032,0.81776,1.27951,0.82962,0.82727,0.86893,0.55521,1.2076,0.88508,1.52808,0.004654,0.004654,0.004654
56,2677.55,1.07013,0.81663,1.29015,0.81277,0.84889,0.88476,0.56977,1.23412,0.86528,1.51887,0.004555,0.004555,0.004555
57,2724.37,1.07503,0.82952,1.28155,0.81666,0.78828,0.85301,0.55766,1.21213,0.92762,1.54422,0.004456,0.004456,0.004456
58,2771.28,1.06452,0.80692,1.28025,0.81493,0.80171,0.87183,0.56685,1.20295,0.89171,1.52485,0.004357,0.004357,0.004357
59,2818.15,1.0659,0.80983,1.28226,0.77734,0.82325,0.86788,0.55963,1.2161,0.91624,1.56271,0.004258,0.004258,0.004258
60,2864.94,1.05593,0.77725,1.28098,0.80566,0.83224,0.87451,0.56401,1.22962,0.83913,1.53359,0.004159,0.004159,0.004159
61,2911.89,1.05183,0.76766,1.26489,0.83801,0.84959,0.88291,0.57316,1.21217,0.83405,1.53035,0.00406,0.00406,0.00406
62,2958.86,1.05632,0.78406,1.27818,0.83115,0.83335,0.87793,0.57042,1.20392,0.86129,1.52949,0.003961,0.003961,0.003961
63,3005.69,1.04805,0.77804,1.2687,0.81543,0.84901,0.89491,0.58322,1.19526,0.81798,1.51843,0.003862,0.003862,0.003862
