model,run,split_set,val_mAP50,val_mAP50_95,test_mAP50,test_mAP50_95,classes_evaluated_val,classes_evaluated_test,epochs_run,train_time_min,params_unfused,gflops_unfused,params_fused,gflops_fused,layers_modules,e2e_ms_p50,e2e_ms_p95,fps_p50,pre_ms,inf_ms,post_ms,latency_source,inclusion
rtdetr-l,rtdetr_l_corr,corrected,0.954,0.6355,0.9444,0.6164,61,61,59,132.1,32931431,110.159,32109095,105.6,515,47.15,49.49,21.2,1.31,41.88,0.59,unified_pass_v3_single_P100_session_committed,benchmark
rtdetr-l,rtdetr_l_pub,published,0.0039,0.0016,0.0057,0.0026,45,46,19,43.7,,,,,,,,,,,,,diverged
rtdetr-l,rtdetr_l_pub_lr1e4,published,0.938,0.6016,0.9171,0.6045,45,46,73,163.2,32931431,110.159,32109095,105.6,515,47.27,49.63,21.2,1.32,41.89,0.56,unified_pass_v3_single_P100_session_committed,benchmark
yolo11s,yolo11s_corr,corrected,0.9335,0.6321,0.9313,0.6187,61,61,100,58.4,9451399,21.795,9436407,21.549,239,13.8,14.74,72.5,1.26,8.4,1.07,unified_pass_v3_single_P100_session_committed,benchmark
yolo11s,yolo11s_pub,published,0.9238,0.5975,0.8921,0.6084,45,46,100,58.9,9451399,21.795,9436407,21.549,239,13.56,14.44,73.7,1.25,8.39,1.05,unified_pass_v3_single_P100_session_committed,benchmark
yolo12s,yolo12s_corr,corrected,0.9022,0.6021,0.9197,0.6017,61,61,100,80.2,9276743,23.612,9254487,23.301,352,18.83,20.42,53.1,1.27,13.48,1.08,unified_pass_v3_single_P100_session_committed,benchmark
yolo12s,yolo12s_pub,published,0.894,0.5871,0.877,0.5842,45,46,100,80.0,9276743,23.612,9254487,23.301,352,19.06,21.17,52.5,1.3,13.82,1.08,unified_pass_v3_single_P100_session_committed,benchmark
yolo26s,yolo26s_corr,corrected,0.9359,0.6271,0.9427,0.6317,61,61,100,70.4,9995078,22.998,9488787,20.892,284,14.67,16.01,68.2,1.27,10.07,0.38,unified_pass_v3_single_P100_session_committed,benchmark
yolo26s,yolo26s_pub,published,0.9196,0.5944,0.9021,0.6129,45,46,100,70.5,9995078,22.998,9488787,20.892,284,14.62,15.85,68.4,1.28,10.05,0.38,unified_pass_v3_single_P100_session_committed,benchmark
yolov9s,yolov9s_corr,corrected,0.9426,0.6405,0.9319,0.6186,61,61,100,77.0,7311015,27.511,7190695,26.855,486,21.11,22.72,47.4,1.28,15.8,1.07,unified_pass_v3_single_P100_session_committed,benchmark
yolov9s,yolov9s_pub,published,0.9233,0.6021,0.9045,0.6063,45,46,100,79.8,7311015,27.511,7190695,26.855,486,20.98,22.67,47.7,1.28,15.81,1.06,unified_pass_v3_single_P100_session_committed,benchmark
