committed_file,model,source,metric,value,plus_minus,interval_low,interval_high,layers,params_millions,table_location,pdf_page,notes
published_complexity.csv,YOLOv8s,yolov12paper,,,,,,214,17.6,Table I,4,"Printed row label ""YOLO v8s [20]"". Caption and header row on PDF p. 3; body rows on PDF p. 4."
published_complexity.csv,YOLOv9s,yolov12paper,,,,,,930,60.8,Table I,4,"Printed row label ""YOLO v9s [24]""."
published_complexity.csv,YOLOv10s,yolov12paper,,,,,,319,2.6,Table I,4,"Printed row label ""YOLOv10s [21]""."
published_complexity.csv,YOLOv11s,yolov12paper,,,,,,272,2.5,Table I,4,"Printed row label ""YOLOv11s [22]""."
published_complexity.csv,EcoDetect-YOLOv2,yolov12paper,,,,,,196,23.4,Table I,4,"Printed row label ""EcoDetect-YOLOv2 [11]"", set over two lines."
published_complexity.csv,YOLO_EC,yolov12paper,,,,,,325,25.1,Table I,4,"Printed row label ""YOLO_EC [13]""."
published_complexity.csv,YOLOv12S,yolov12paper,,,,,,292,19.7,Table I,4,"Printed row label ""YOLOv12S [12]"", printed bold across all six cells."
published_complexity.csv,YOLOv8s,yolov13paper,,,,,,214,17.6,Table I,4,"Printed row label ""YOLO v8s [20]"". Whole table on PDF p. 4."
published_complexity.csv,YOLOv9s,yolov13paper,,,,,,930,60.8,Table I,4,"Printed row label ""YOLO v9s [24]""."
published_complexity.csv,YOLOv10s,yolov13paper,,,,,,319,2.6,Table I,4,"Printed row label ""YOLOv10s [21]""."
published_complexity.csv,YOLOv11s,yolov13paper,,,,,,272,2.5,Table I,4,"Printed row label ""YOLOv11s [22]""."
published_complexity.csv,EcoDetect-YOLOv2,yolov13paper,,,,,,196,23.4,Table I,4,"Printed row label ""EcoDetect-YOLOv2 [11]""."
published_complexity.csv,YOLO_EC,yolov13paper,,,,,,325,25.1,Table I,4,"Printed row label ""YOLO_EC [13]""."
published_complexity.csv,YOLOv12S,yolov13paper,,,,,,292,19.7,Table I,4,"Printed row label ""YOLOv12S [12]""; not bold in this paper."
published_complexity.csv,YOLOv13s,yolov13paper,,,,,,648,2.5,Table I,4,"Printed row label ""YOLOv13s [26]"", printed bold across all six cells. Row unique to this paper."
published_accuracy.csv,YOLOv9s,electrocom61,mAP@50,95.9,,,,,,Table 3,9,"Printed ""95.9 %"" with a space before the percent sign. Column header printed ""mAP@50"". Corroborated by Section 4.2 body text on PDF p. 8."
published_accuracy.csv,YOLOv9s,electrocom61,precision,92.4,,,,,,Table 3,9,"Printed ""92.4 %""."
published_accuracy.csv,YOLOv9s,electrocom61,recall,94.9,,,,,,Table 3,9,"Printed ""94.9 %""."
published_accuracy.csv,YOLOv9s,electrocom61,F1,93.63,,,,,,Table 3,9,"Printed ""93.63 %"". Column header printed ""F1-Score""."
published_accuracy.csv,YOLOv9s,electrocom61,total_loss,0.5795,,,,,,Table 3,9,"Printed ""0.5795"", no unit. Column header printed ""Total Loss""."
published_accuracy.csv,EfficientDetV2,electrocom61,mAP@50,95.6,,,,,,Table 3,9,"Printed ""95.6 %""."
published_accuracy.csv,EfficientDetV2,electrocom61,precision,95.6,,,,,,Table 3,9,"Printed ""95.6 %""."
published_accuracy.csv,EfficientDetV2,electrocom61,recall,99.7,,,,,,Table 3,9,"Printed ""99.7 %""."
published_accuracy.csv,EfficientDetV2,electrocom61,F1,97.6,,,,,,Table 3,9,"Printed ""97.6 %""."
published_accuracy.csv,EfficientDetV2,electrocom61,total_loss,0.40146,,,,,,Table 3,9,"Printed ""0.40146"", no unit."
published_accuracy.csv,YOLOv9s,yolov12paper,mAP@50,84.9,0.3,84.6,85.2,,,Table I,4,"Printed ""84.9 +/- 0.3 (84.6-85.2)"" using the plus-minus sign and an en dash. Column header printed ""mAP@0.5 (mean +/- SD, 95% CI)"", not ""mAP@50""."
published_accuracy.csv,YOLOv9s,yolov13paper,mAP@50,84.9,,,,,,Table I,4,"Printed ""84.9"" alone. Column header printed ""mAP@0.5"" with no variance decoration and no unit."
