keying,gap_lower_s,gap_upper_s,n_consecutive_pairs
csv_device,0,0,1
csv_device,0,1,4
csv_device,1,2,15
csv_device,2,3,96
csv_device,3,5,379
csv_device,5,8,429
csv_device,8,13,298
csv_device,13,21,246
csv_device,21,34,201
csv_device,34,55,128
csv_device,55,89,53
csv_device,89,144,39
csv_device,144,300,13
csv_device,300,600,6
csv_device,600,1800,3
csv_device,1800,3600,1
csv_device,3600,inf,15
family_only,0,0,0
family_only,0,1,4
family_only,1,2,15
family_only,2,3,96
family_only,3,5,379
family_only,5,8,428
family_only,8,13,297
family_only,13,21,242
family_only,21,34,200
family_only,34,55,129
family_only,55,89,53
family_only,89,144,41
family_only,144,300,12
family_only,300,600,10
family_only,600,1800,3
family_only,1800,3600,1
family_only,3600,inf,19
