class_id,class_name,capture_date,inst_train,inst_valid,inst_test,inst_total,date_is_train_only
0,1-5-Volt-Battery,20240228,78,98,5,181,no
0,1-5-Volt-Battery,20240306,16,11,3,30,no
1,3-3-Volt-Battery,20240303,36,28,83,147,no
1,3-3-Volt-Battery,20240306,41,10,7,58,no
2,7-Segment-Display,20240306,118,31,16,165,no
2,7-Segment-Display,20241118,13,5,1,19,no
3,9-Volt-Battery,20240220,160,0,0,160,yes
4,Arduino-Mega,20240306,122,29,17,168,no
4,Arduino-Mega,20241118,7,0,2,9,no
5,Arduino-Nano,20240228,77,105,12,194,no
6,Arduino-Uno,20241118,8,5,1,14,no
6,Arduino-Uno,<untimestamped:counter>,193,0,0,193,yes
7,BJT-Transistor,20240228,88,97,25,210,no
7,BJT-Transistor,20241118,14,3,2,19,no
8,Bluetooth-Module,20240220,249,0,0,249,yes
9,Breadboard,20240306,119,26,18,163,no
9,Breadboard,20241118,11,5,2,18,no
10,Bridge-Rectifier,20240309,162,45,23,230,no
11,Buck-Converter,20240306,115,32,16,163,no
11,Buck-Converter,20241118,2,1,2,5,no
12,Buzzer,20240220,272,0,0,272,yes
13,Capacitor-10mf,20240228,58,102,21,181,no
13,Capacitor-10mf,20241118,26,8,3,37,no
14,Capacitor-470mf,20240228,73,109,21,203,no
14,Capacitor-470mf,20241118,11,4,1,16,no
15,DC-Motor,20240303,35,26,87,148,no
15,DC-Motor,20240306,16,5,2,23,no
16,Diode,20240220,232,0,0,232,yes
16,Diode,20241118,25,6,2,33,no
17,ESP32,20240303,0,0,2,2,no
17,ESP32,20240306,1,0,0,1,no
17,ESP32,<untimestamped:counter>,189,0,0,189,yes
18,ESP32-CAM,20240303,41,28,76,145,no
18,ESP32-CAM,20240306,32,9,6,47,no
19,FT-232-USB-Serial-Module,20240303,38,27,86,151,no
19,FT-232-USB-Serial-Module,20240306,16,4,2,22,no
20,Film-Capacitor,20240219,130,0,0,130,yes
20,Film-Capacitor,20240228,7,7,1,15,no
20,Film-Capacitor,20240417,21,8,4,33,no
21,Fuse,20240220,155,0,0,155,yes
21,Fuse,20240228,6,7,8,21,no
22,Fuse-Base,20240220,135,0,0,135,yes
22,Fuse-Base,20240228,21,15,4,40,no
23,GSM-Module,20240309,164,48,24,236,no
24,Gas-Sensor,20240219,97,0,0,97,yes
24,Gas-Sensor,<untimestamped:counter>,124,0,0,124,yes
25,Heat-Sink,20240220,158,0,0,158,yes
25,Heat-Sink,20240417,13,3,1,17,no
26,High-Voltage-Ceramic-Capacitor,20240220,257,0,0,257,yes
27,Humidity-Sensor,20240309,167,45,22,234,no
28,IC-Base-14-Pin,20240309,167,50,22,239,no
29,IC-Base-28-Pin,20240309,165,44,22,231,no
30,IC-Chip,20240220,312,0,0,312,yes
30,IC-Chip,20241118,21,4,2,27,no
31,IGBT,20240228,82,119,15,216,no
32,IR-Sensor,20240228,71,116,19,206,no
32,IR-Sensor,20241118,11,3,1,15,no
33,Inductor,20240220,293,0,0,293,yes
34,Keypad,20240228,88,91,12,191,no
35,LCD-Display,20240220,177,0,0,177,yes
36,LDR-Sensor,20240219,161,0,0,161,yes
37,LED-Light,<untimestamped:counter>,293,0,0,293,yes
38,Low-Voltage-Ceramic-Capacitor,20240228,98,102,17,217,no
39,MLC-Capacitor,20240219,292,0,0,292,yes
40,MOSFET,20240228,56,130,21,207,no
41,Motion-Sensor,20240309,161,48,20,229,no
42,Motor-Driver,20240219,55,0,0,55,yes
42,Motor-Driver,20240220,122,0,0,122,yes
43,NTC-Thermistor,20240228,88,101,17,206,no
43,NTC-Thermistor,20241118,12,4,0,16,no
44,OLED-Display,<untimestamped:counter>,279,0,0,279,yes
45,Pin-Header,20240228,50,104,17,171,no
46,Push-Switch,20240220,277,0,0,277,yes
47,RFID-Scanner,20240220,153,0,0,153,yes
48,Raindrops-Module,20240303,36,27,81,144,no
48,Raindrops-Module,20240306,29,8,6,43,no
49,Relay-Module,20240309,158,45,25,228,no
50,Resistor,20240417,118,33,18,169,no
51,Rocker-Switch,20240228,83,86,12,181,no
52,Servo-Motor,20240220,154,0,0,154,yes
52,Servo-Motor,20240417,15,2,3,20,no
53,Soil-Moisture-Sensor,20240228,65,98,21,184,no
54,Sonar-Sensor,20240219,117,0,0,117,yes
54,Sonar-Sensor,<untimestamped:counter>,118,0,0,118,yes
55,TCRT5000,20240306,115,32,18,165,no
56,Tact-Switch,20240228,59,112,24,195,no
56,Tact-Switch,20241118,12,3,2,17,no
57,Taper-Potentiometer,20240303,39,28,81,148,no
57,Taper-Potentiometer,20240306,16,6,2,24,no
58,Trimmer-Potentiometer,20240309,160,47,21,228,no
59,Water-Sensor,20240309,165,44,21,230,no
60,Zener-Diode,20240228,65,110,18,193,no
60,Zener-Diode,20240417,12,6,2,20,no
60,Zener-Diode,20241118,19,5,1,25,no
