class_id,class_name,inst_train,inst_valid,inst_test,inst_total,imgs_train,imgs_valid,imgs_test
0,1-5-Volt-Battery,94,109,8,211,87,103,6
1,3-3-Volt-Battery,77,38,90,205,76,38,90
2,7-Segment-Display,131,36,17,184,131,36,17
3,9-Volt-Battery,160,0,0,160,159,0,0
4,Arduino-Mega,129,29,19,177,128,29,19
5,Arduino-Nano,77,105,12,194,77,104,11
6,Arduino-Uno,201,5,1,207,122,5,1
7,BJT-Transistor,102,100,27,229,102,100,27
8,Bluetooth-Module,249,0,0,249,179,0,0
9,Breadboard,130,31,20,181,130,31,20
10,Bridge-Rectifier,162,45,23,230,162,45,23
11,Buck-Converter,117,33,18,168,117,33,18
12,Buzzer,272,0,0,272,206,0,0
13,Capacitor-10mf,84,110,24,218,84,110,24
14,Capacitor-470mf,84,113,22,219,84,113,22
15,DC-Motor,51,31,89,171,51,31,89
16,Diode,257,6,2,265,192,6,2
17,ESP32,190,0,2,192,190,0,2
18,ESP32-CAM,73,37,82,192,72,37,82
19,FT-232-USB-Serial-Module,54,31,88,173,54,31,87
20,Film-Capacitor,158,15,5,178,100,15,5
21,Fuse,161,7,8,176,161,7,8
22,Fuse-Base,156,15,4,175,156,15,4
23,GSM-Module,164,48,24,236,164,48,24
24,Gas-Sensor,221,0,0,221,180,0,0
25,Heat-Sink,171,3,1,175,171,3,1
26,High-Voltage-Ceramic-Capacitor,257,0,0,257,200,0,0
27,Humidity-Sensor,167,45,22,234,167,45,22
28,IC-Base-14-Pin,167,50,22,239,166,50,22
29,IC-Base-28-Pin,165,44,22,231,165,44,22
30,IC-Chip,333,4,2,339,238,4,2
31,IGBT,82,119,15,216,82,119,15
32,IR-Sensor,82,119,20,221,81,119,20
33,Inductor,293,0,0,293,188,0,0
34,Keypad,88,91,12,191,87,91,12
35,LCD-Display,177,0,0,177,177,0,0
36,LDR-Sensor,161,0,0,161,79,0,0
37,LED-Light,293,0,0,293,184,0,0
38,Low-Voltage-Ceramic-Capacitor,98,102,17,217,98,102,17
39,MLC-Capacitor,292,0,0,292,81,0,0
40,MOSFET,56,130,21,207,56,130,21
41,Motion-Sensor,161,48,20,229,161,48,20
42,Motor-Driver,177,0,0,177,175,0,0
43,NTC-Thermistor,100,105,17,222,99,105,17
44,OLED-Display,279,0,0,279,189,0,0
45,Pin-Header,50,104,17,171,50,104,17
46,Push-Switch,277,0,0,277,177,0,0
47,RFID-Scanner,153,0,0,153,153,0,0
48,Raindrops-Module,65,35,87,187,65,35,87
49,Relay-Module,158,45,25,228,158,45,25
50,Resistor,118,33,18,169,38,10,6
51,Rocker-Switch,83,86,12,181,83,86,12
52,Servo-Motor,169,2,3,174,169,2,3
53,Soil-Moisture-Sensor,65,98,21,184,65,98,21
54,Sonar-Sensor,235,0,0,235,190,0,0
55,TCRT5000,115,32,18,165,115,32,17
56,Tact-Switch,71,115,26,212,71,115,25
57,Taper-Potentiometer,55,34,83,172,55,33,83
58,Trimmer-Potentiometer,160,47,21,228,160,47,20
59,Water-Sensor,165,44,21,230,165,44,21
60,Zener-Diode,96,121,21,238,96,121,21
