class_id,class_name,verdict,inst_train,imgs_train,n_dates,all_dates,train_only_dates,dates_reaching_valid_or_test
3,9-Volt-Battery,session_confined,160,159,1,20240220,20240220,
8,Bluetooth-Module,session_confined,249,179,1,20240220,20240220,
12,Buzzer,session_confined,272,206,1,20240220,20240220,
24,Gas-Sensor,session_confined,221,180,2,20240219;<untimestamped:counter>,20240219;<untimestamped:counter>,
26,High-Voltage-Ceramic-Capacitor,session_confined,257,200,1,20240220,20240220,
33,Inductor,session_confined,293,188,1,20240220,20240220,
35,LCD-Display,session_confined,177,177,1,20240220,20240220,
36,LDR-Sensor,session_confined,161,79,1,20240219,20240219,
37,LED-Light,session_confined,293,184,1,<untimestamped:counter>,<untimestamped:counter>,
39,MLC-Capacitor,session_confined,292,81,1,20240219,20240219,
42,Motor-Driver,session_confined,177,175,2,20240219;20240220,20240219;20240220,
44,OLED-Display,session_confined,279,189,1,<untimestamped:counter>,<untimestamped:counter>,
46,Push-Switch,session_confined,277,177,1,20240220,20240220,
47,RFID-Scanner,session_confined,153,153,1,20240220,20240220,
54,Sonar-Sensor,session_confined,235,190,2,20240219;<untimestamped:counter>,20240219;<untimestamped:counter>,
