epsilon,component_id,component_size,stem
0.01,58,2,IMG_5184
0.01,58,2,IMG_5185
0.02,2,3,IMG_5128
0.02,2,3,IMG_5129
0.02,2,3,IMG_5130
0.02,56,2,IMG_5184
0.02,56,2,IMG_5185
0.02,119,2,IMG_5257
0.02,119,2,IMG_5258
0.02,126,2,IMG_5265
0.02,126,2,IMG_5266
0.02,182,2,IMG_5322
0.02,182,2,IMG_5323
0.05,0,2,IMG_5126
0.05,0,2,IMG_5127
0.05,1,3,IMG_5128
0.05,1,3,IMG_5129
0.05,1,3,IMG_5130
0.05,2,3,IMG_5131
0.05,2,3,IMG_5132
0.05,2,3,IMG_5133
0.05,5,2,IMG_5136
0.05,5,2,IMG_5137
0.05,11,3,IMG_5143
0.05,11,3,IMG_5144
0.05,11,3,IMG_5145
0.05,13,4,IMG_5147
0.05,13,4,IMG_5148
0.05,13,4,IMG_5149
0.05,13,4,IMG_5150
0.05,17,2,IMG_5154
0.05,17,2,IMG_5155
0.05,20,2,IMG_5158
0.05,20,2,IMG_5159
0.05,24,2,IMG_5163
0.05,24,2,IMG_5164
0.05,29,4,IMG_5169
0.05,29,4,IMG_5170
0.05,29,4,IMG_5171
0.05,29,4,IMG_5172
0.05,30,2,IMG_5173
0.05,30,2,IMG_5174
0.05,32,2,IMG_5176
0.05,32,2,IMG_5177
0.05,39,2,IMG_5184
0.05,39,2,IMG_5185
0.05,47,2,IMG_5193
0.05,47,2,IMG_5194
0.05,68,3,IMG_5224
0.05,68,3,IMG_5225
0.05,68,3,IMG_5226
0.05,72,3,IMG_5230
0.05,72,3,IMG_5231
0.05,72,3,IMG_5232
0.05,91,2,IMG_5251
0.05,91,2,IMG_5254
0.05,96,2,IMG_5257
0.05,96,2,IMG_5258
0.05,103,2,IMG_5265
0.05,103,2,IMG_5266
0.05,107,2,IMG_5270
0.05,107,2,IMG_5271
0.05,108,3,IMG_5272
0.05,108,3,IMG_5273
0.05,108,3,IMG_5274
0.05,114,5,IMG_5280
0.05,114,5,IMG_5281
0.05,114,5,IMG_5282
0.05,114,5,IMG_5283
0.05,114,5,IMG_5285
0.05,116,2,IMG_5286
0.05,116,2,IMG_5287
0.05,118,2,IMG_5289
0.05,118,2,IMG_5290
0.05,132,2,IMG_5304
0.05,132,2,IMG_5305
0.05,133,2,IMG_5306
0.05,133,2,IMG_5307
0.05,142,2,IMG_5316
0.05,142,2,IMG_5317
0.05,145,4,IMG_5320
0.05,145,4,IMG_5321
0.05,145,4,IMG_5322
0.05,145,4,IMG_5323
