stem,actual_split,csv_DATA_TYPE,filename_family,DEVICE_NAME,BACKGROUND,date,time,in_counter_family
IMG20240228122809,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,122809,False
IMG20240228122949,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,122949,False
IMG20240228122955,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,122955,False
IMG20240228123001,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123001,False
IMG20240228123131,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123131,False
IMG20240228123218,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123218,False
IMG20240228123246,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123246,False
IMG20240228123253,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123253,False
IMG20240228123330,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123330,False
IMG20240228123402,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123402,False
IMG20240228123408,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123408,False
IMG20240228123449,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123449,False
IMG20240228123455,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123455,False
IMG20240228123512,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123512,False
IMG20240228123522,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123522,False
IMG20240228123605,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123605,False
IMG20240228123614,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123614,False
IMG20240228123708,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123708,False
IMG20240228123750,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123750,False
IMG20240228123839,valid,train,ts_compact,ONEPLUS_NORD,Wooden,20240228,123839,False
IMG20240228124228,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124228,False
IMG20240228124247,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124247,False
IMG20240228124330,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124330,False
IMG20240228124357,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124357,False
IMG20240228124412,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124412,False
IMG20240228124440,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124440,False
IMG20240228124711,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124711,False
IMG20240228124718,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124718,False
IMG20240228124844,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124844,False
IMG20240228124919,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124919,False
IMG20240228124925,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,124925,False
IMG20240228125017,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125017,False
IMG20240228125025,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125025,False
IMG20240228125228,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125228,False
IMG20240228125312,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125312,False
IMG20240228125428,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125428,False
IMG20240228125752,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125752,False
IMG20240228125831,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125831,False
IMG20240228125846,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,125846,False
IMG20240228130031,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130031,False
IMG20240228130036,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130036,False
IMG20240228130254,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130254,False
IMG20240228130308,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130308,False
IMG20240228130425,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130425,False
IMG20240228130517,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130517,False
IMG_20240228_130525,valid,train,ts_underscore,REDMI,Tile,20240228,130525,False
IMG20240228130615,valid,train,ts_compact,ONEPLUS_NORD,Tile,20240228,130615,False
IMG_20240228_130615,valid,train,ts_underscore,REDMI,Tile,20240228,130615,False
IMG_20240228_130630,valid,train,ts_underscore,REDMI,Tile,20240228,130630,False
IMG_20240228_130656,valid,train,ts_underscore,REDMI,Tile,20240228,130656,False
IMG_20240228_130705,valid,train,ts_underscore,REDMI,Tile,20240228,130705,False
IMG_20240228_130813,valid,train,ts_underscore,REDMI,Tile,20240228,130813,False
IMG_20240228_131005,valid,train,ts_underscore,REDMI,Tile,20240228,131005,False
IMG_20240228_131008,valid,train,ts_underscore,REDMI,Tile,20240228,131008,False
IMG_20240228_131014,valid,train,ts_underscore,REDMI,Tile,20240228,131014,False
IMG20240228131243,valid,train,ts_compact,ONEPLUS_NORD,Black,20240228,131243,False
IMG_20240228_131314,valid,train,ts_underscore,REDMI,Black,20240228,131314,False
IMG_20240228_131348,valid,train,ts_underscore,REDMI,Black,20240228,131348,False
IMG_20240228_131358,valid,train,ts_underscore,REDMI,Black,20240228,131358,False
