csv_DATA_TYPE,actual_split,filename_family,n,is_disagreement
test,test,ts_compact,32,False
test,test,ts_underscore,50,False
test,train,counter,20,True
test,train,ts_compact,35,True
test,train,ts_compact_sub,2,True
test,train,ts_underscore,66,True
train,test,ts_compact,69,True
train,test,ts_underscore,46,True
train,train,counter,133,False
train,train,ts_compact,363,False
train,train,ts_compact_sub,3,False
train,train,ts_underscore,651,False
train,valid,ts_compact,57,True
train,valid,ts_underscore,132,True
valid,test,ts_compact,3,True
valid,train,counter,36,True
valid,train,ts_compact,53,True
valid,train,ts_compact_sub,3,True
valid,train,ts_underscore,78,True
valid,valid,ts_compact,82,False
valid,valid,ts_underscore,157,False
