split_a,split_b,stem_a,stem_b,family_a,family_b,n_boxes,raw_max_dist,raw_mean_dist,raw_mean_iou,aligned_max_dist,aligned_mean_dist,aligned_mean_iou,time_gap_s,low_info
train,valid,IMG_20240309_120229,IMG_20240309_120246,ts_underscore,ts_underscore,9,0.04683,0.03051,0.6005,0.0389,0.02845,0.6294,17.0,False
valid,train,IMG20240303110140,IMG_20240303_110205,ts_compact,ts_underscore,6,0.09592,0.06487,0.4175,0.04277,0.02907,0.6486,25.0,False
train,valid,IMG_20240228_132444,IMG_20240228_132451,ts_underscore,ts_underscore,8,0.05797,0.03563,0.6053,0.04075,0.02802,0.6259,7.0,False
train,test,IMG_20240303_105811,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.02096,0.02096,0.5681,0.0,0.0,0.5681,26.0,True
train,valid,IMG_20240303_105811,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.07882,0.07882,0.7258,0.0,0.0,0.7609,32.0,True
train,valid,IMG_20240303_105811,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.04033,0.04033,0.5404,0.0,0.0,0.5404,35.0,True
train,valid,IMG_20240303_105811,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.17822,0.17822,0.3975,0.0,0.0,0.5927,51.0,True
train,test,IMG_20240303_105815,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.04756,0.04756,0.2131,0.0,0.0,0.2131,22.0,True
train,valid,IMG_20240303_105815,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.02413,0.02413,0.2855,0.0,0.0,0.2855,28.0,True
train,valid,IMG_20240303_105815,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.0323,0.0323,0.2028,0.0,0.0,0.2028,31.0,True
train,valid,IMG_20240303_105815,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.19985,0.19985,0.196,0.0,0.0,0.4456,47.0,True
train,test,IMG_20240303_105825,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.06686,0.06686,0.5444,0.0,0.0,0.5444,12.0,True
train,valid,IMG_20240303_105825,IMG_20240303_105843,ts_underscore,ts_underscore,1,0.12335,0.12335,0.5906,0.0,0.0,0.7291,18.0,True
train,valid,IMG_20240303_105825,IMG_20240303_105846,ts_underscore,ts_underscore,1,0.08595,0.08595,0.5179,0.0,0.0,0.5179,21.0,True
train,valid,IMG_20240303_105825,IMG_20240303_105902,ts_underscore,ts_underscore,1,0.20133,0.20133,0.3417,0.0,0.0,0.6628,37.0,True
train,test,IMG_20240303_105829,IMG_20240303_105837,ts_underscore,ts_underscore,1,0.03249,0.03249,0.7748,0.0,0.0,0.7748,8.0,True
