split_a,split_b,stem_a,stem_b,family_a,family_b,n_boxes,raw_max_dist,raw_mean_dist,raw_mean_iou,aligned_max_dist,aligned_mean_dist,aligned_mean_iou,time_gap_s,low_info
train,train,IMG_20240309_112740,IMG_20240309_112741,ts_underscore,ts_underscore,9,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False
train,valid,IMG_20240309_120229,IMG_20240309_120246,ts_underscore,ts_underscore,9,0.04683,0.03051,0.6005,0.0389,0.02845,0.6294,17.0,False
train,train,IMG20240306143941,IMG_20240306_143955,ts_compact,ts_underscore,5,0.09574,0.0859,0.3496,0.04601,0.03558,0.6246,14.0,False
train,train,IMG20240306144233,IMG20240306144240,ts_compact,ts_compact,5,0.0812,0.06116,0.4444,0.02598,0.01875,0.6814,7.0,False
train,train,IMG20240306144325,IMG20240306144339,ts_compact,ts_compact,5,0.09323,0.06272,0.4476,0.03774,0.02019,0.7567,14.0,False
train,train,IMG_20240306_143945,IMG_20240306_143948,ts_underscore,ts_underscore,5,0.17989,0.14111,0.2746,0.04886,0.03702,0.5684,3.0,False
valid,train,IMG20240303110140,IMG_20240303_110205,ts_compact,ts_underscore,6,0.09592,0.06487,0.4175,0.04277,0.02907,0.6486,25.0,False
train,train,IMG_5126,IMG_5127,counter,counter,5,0.06609,0.04009,0.4709,0.03197,0.02063,0.6988,,False
train,train,IMG_5128,IMG_5129,counter,counter,5,0.03741,0.03136,0.5347,0.03021,0.0239,0.6367,,False
train,train,IMG_5128,IMG_5130,counter,counter,5,0.07372,0.05634,0.291,0.01987,0.01336,0.7455,,False
train,train,IMG_5129,IMG_5130,counter,counter,5,0.09039,0.0764,0.1561,0.01741,0.0125,0.7694,,False
train,train,IMG_5131,IMG_5132,counter,counter,5,0.0952,0.09108,0.1356,0.03874,0.01894,0.699,,False
train,train,IMG_5131,IMG_5133,counter,counter,5,0.13613,0.11942,0.09,0.03207,0.02199,0.6377,,False
train,train,IMG_5132,IMG_5133,counter,counter,5,0.07847,0.06612,0.3376,0.03205,0.01652,0.7083,,False
train,train,IMG_5136,IMG_5137,counter,counter,5,0.11498,0.08146,0.1701,0.04447,0.02448,0.6031,,False
train,train,IMG_5143,IMG_5144,counter,counter,5,0.05907,0.03197,0.6202,0.04595,0.03136,0.6231,,False
train,train,IMG_5143,IMG_5145,counter,counter,5,0.07293,0.04723,0.4915,0.03785,0.0271,0.6656,,False
train,train,IMG_5144,IMG_5145,counter,counter,5,0.05712,0.03881,0.5771,0.03788,0.0259,0.6494,,False
train,train,IMG_5147,IMG_5148,counter,counter,5,0.10487,0.07705,0.3282,0.02983,0.02174,0.7306,,False
train,train,IMG_5147,IMG_5149,counter,counter,5,0.10138,0.07365,0.3229,0.04632,0.02861,0.6611,,False
train,train,IMG_5149,IMG_5150,counter,counter,5,0.04147,0.02055,0.7061,0.04244,0.0181,0.7213,,False
train,train,IMG_5154,IMG_5155,counter,counter,5,0.06886,0.04778,0.5645,0.03839,0.02323,0.7603,,False
train,train,IMG_5158,IMG_5159,counter,counter,5,0.12875,0.10351,0.2731,0.03892,0.03157,0.6554,,False
train,train,IMG_5163,IMG_5164,counter,counter,5,0.05807,0.02386,0.7322,0.03525,0.01607,0.7678,,False
train,train,IMG_5169,IMG_5170,counter,counter,5,0.04947,0.01563,0.8019,0.04042,0.01712,0.7875,,False
train,train,IMG_5170,IMG_5171,counter,counter,5,0.06784,0.04346,0.5134,0.04004,0.02838,0.6849,,False
train,train,IMG_5170,IMG_5172,counter,counter,5,0.04873,0.04103,0.5312,0.03235,0.02498,0.676,,False
train,train,IMG_5171,IMG_5172,counter,counter,5,0.07601,0.04094,0.6319,0.04843,0.027,0.6745,,False
train,train,IMG_5173,IMG_5174,counter,counter,5,0.03461,0.02492,0.7197,0.02497,0.01496,0.8165,,False
train,train,IMG_5176,IMG_5177,counter,counter,5,0.08373,0.06662,0.4519,0.04816,0.02363,0.6716,,False
train,train,IMG_5184,IMG_5185,counter,counter,5,0.05271,0.0451,0.4743,0.00863,0.00556,0.7078,,False
train,train,IMG_5193,IMG_5194,counter,counter,5,0.11111,0.09018,0.2633,0.03846,0.03072,0.6668,,False
train,train,IMG_5280,IMG_5281,counter,counter,7,0.09585,0.06651,0.4059,0.03717,0.02678,0.6622,,False
train,train,IMG_5281,IMG_5282,counter,counter,7,0.14843,0.11746,0.2004,0.03388,0.02339,0.6564,,False
train,train,IMG_5281,IMG_5283,counter,counter,7,0.10356,0.07825,0.3492,0.03126,0.01948,0.6748,,False
train,train,IMG_5281,IMG_5285,counter,counter,7,0.14466,0.10295,0.2295,0.0493,0.03295,0.6007,,False
train,train,IMG_5282,IMG_5283,counter,counter,7,0.10228,0.05727,0.5391,0.04766,0.01966,0.7611,,False
train,train,IMG_5282,IMG_5285,counter,counter,7,0.05516,0.03192,0.5924,0.04787,0.02694,0.6137,,False
train,train,IMG_5283,IMG_5285,counter,counter,7,0.08368,0.04347,0.5674,0.04728,0.02824,0.5904,,False
train,train,IMG_5286,IMG_5287,counter,counter,7,0.08588,0.06811,0.4076,0.03242,0.01721,0.6735,,False
train,train,IMG_5289,IMG_5290,counter,counter,7,0.02028,0.01273,0.757,0.0202,0.01079,0.7583,,False
train,train,IMG_5304,IMG_5305,counter,counter,7,0.07738,0.05568,0.4958,0.04741,0.02681,0.6539,,False
train,train,IMG_5306,IMG_5307,counter,counter,7,0.04977,0.03069,0.7023,0.04434,0.03118,0.6702,,False
train,train,IMG_5316,IMG_5317,counter,counter,7,0.05022,0.03851,0.5635,0.04315,0.03413,0.573,,False
train,train,IMG_5251,IMG_5254,counter,counter,8,0.06393,0.04576,0.5403,0.03625,0.02211,0.7208,,False
train,train,IMG_5257,IMG_5258,counter,counter,8,0.03181,0.01997,0.7198,0.01968,0.01178,0.794,,False
train,train,IMG_5265,IMG_5266,counter,counter,8,0.03441,0.0262,0.6876,0.01634,0.00987,0.8303,,False
