stem,v2_split,has_csv_row,date,time
IMG20241118101346,test,False,20241118,101346
IMG20241118101423,train,False,20241118,101423
IMG20241118101616,valid,False,20241118,101616
IMG20241118101626,train,False,20241118,101626
IMG20241118101758,train,False,20241118,101758
IMG20241118101811,train,False,20241118,101811
IMG20241118101929,valid,False,20241118,101929
IMG20241118101936,train,False,20241118,101936
IMG20241118102139,valid,False,20241118,102139
IMG20241118102153,train,False,20241118,102153
IMG20241118102222,valid,False,20241118,102222
IMG20241118102250,train,False,20241118,102250
IMG20241118102634,test,False,20241118,102634
IMG20241118102657,train,False,20241118,102657
IMG20241118102837,train,False,20241118,102837
IMG20241118102854,train,False,20241118,102854
IMG20241118155549,test,False,20241118,155549
IMG20241118155746,train,False,20241118,155746
IMG20241118155756,train,False,20241118,155756
IMG20241118160018,valid,False,20241118,160018
IMG20241118160025,train,False,20241118,160025
IMG20241118160143,valid,False,20241118,160143
IMG20241118160216,train,False,20241118,160216
IMG20241118160515_01,train,False,20241118,160515
IMG20241118160541,train,False,20241118,160541
IMG20241118160725,train,False,20241118,160725
IMG20241118160737,valid,False,20241118,160737
IMG20241118160824,train,False,20241118,160824
IMG20241118160837,train,False,20241118,160837
IMG20241118160924,train,False,20241118,160924
IMG20241118160937,train,False,20241118,160937
IMG20241118161125,test,False,20241118,161125
IMG20241118161139,train,False,20241118,161139
IMG20241118161210,train,False,20241118,161210
IMG20241118161219,train,False,20241118,161219
IMG20241118161324,train,False,20241118,161324
IMG20241118161331,train,False,20241118,161331
IMG20241118161413,valid,False,20241118,161413
IMG20241118161421,train,False,20241118,161421
IMG20241118161459,train,False,20241118,161459
IMG20241118161514,train,False,20241118,161514
IMG20241118161536,test,False,20241118,161536
IMG20241118161548,train,False,20241118,161548
IMG20241118161624,train,False,20241118,161624
IMG20241118161632,valid,False,20241118,161632
IMG20241118161711,train,False,20241118,161711
IMG20241118161717,train,False,20241118,161717
IMG20241118161841,train,False,20241118,161841
IMG20241118161851,valid,False,20241118,161851
IMG20241118161943,train,False,20241118,161943
