relpath,split_dir,stem,parse_route,family,date,time
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240219113649_jpg.rf.739000e43b9a609949208514a7f7a363.jpg,test,IMG20240219113649,roboflow,ts_compact,20240219,113649
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240219113831_jpg.rf.ed5be8ce7f85c63010b471366a38e691.jpg,test,IMG20240219113831,roboflow,ts_compact,20240219,113831
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240219113926_jpg.rf.9724c69342e44e72e934b2fc66f21012.jpg,test,IMG20240219113926,roboflow,ts_compact,20240219,113926
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240219114137_jpg.rf.26d61e3934b9d0bdc12450cb4ff08744.jpg,test,IMG20240219114137,roboflow,ts_compact,20240219,114137
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220114517_jpg.rf.04a180b57af90fa9de100a1fff18493b.jpg,test,IMG20240220114517,roboflow,ts_compact,20240220,114517
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220114741_jpg.rf.48fb8e9ea7f7be7950b669678d98fa07.jpg,test,IMG20240220114741,roboflow,ts_compact,20240220,114741
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220115100_jpg.rf.d1e0338cb21d08c8f1ac016ef5b80358.jpg,test,IMG20240220115100,roboflow,ts_compact,20240220,115100
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220115109_jpg.rf.78565e6efae921fc5eca8bb70668e3ad.jpg,test,IMG20240220115109,roboflow,ts_compact,20240220,115109
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220120432_jpg.rf.c9512f6a6925f4af0e4b0f4d9f07af3f.jpg,test,IMG20240220120432,roboflow,ts_compact,20240220,120432
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220120706_jpg.rf.b1dff83806d49403b448742f4f1c5f51.jpg,test,IMG20240220120706,roboflow,ts_compact,20240220,120706
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220120712_jpg.rf.96d18ff8984936b546ae711b100700f7.jpg,test,IMG20240220120712,roboflow,ts_compact,20240220,120712
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220121703_jpg.rf.55fe7748ced798efb890a1a72e617e5d.jpg,test,IMG20240220121703,roboflow,ts_compact,20240220,121703
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220133619_jpg.rf.8f5000c4ec4a4bd7f7171c5ceb22d602.jpg,test,IMG20240220133619,roboflow,ts_compact,20240220,133619
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220133854_jpg.rf.9f3c735ec1e8cd41f8bc3f804a58fa3a.jpg,test,IMG20240220133854,roboflow,ts_compact,20240220,133854
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220134311_jpg.rf.c86c6215934b48228e7e922810f1dc4d.jpg,test,IMG20240220134311,roboflow,ts_compact,20240220,134311
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220134537_jpg.rf.6e9cb5dae19821e0db09299098502a1e.jpg,test,IMG20240220134537,roboflow,ts_compact,20240220,134537
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220134651_jpg.rf.fb74ba5d99ba2393de9b6fcba342fb8a.jpg,test,IMG20240220134651,roboflow,ts_compact,20240220,134651
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220134719_jpg.rf.08f603752d2605e2714f8c5bcfe7a50f.jpg,test,IMG20240220134719,roboflow,ts_compact,20240220,134719
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220135003_jpg.rf.dc15732106daa440f79b169b6f4e1bd9.jpg,test,IMG20240220135003,roboflow,ts_compact,20240220,135003
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240220135244_jpg.rf.67896633ce6b3c734bcc10ef21ad5823.jpg,test,IMG20240220135244,roboflow,ts_compact,20240220,135244
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228123032_jpg.rf.6fd6968fa07c5b4701d8d0a25f030732.jpg,test,IMG20240228123032,roboflow,ts_compact,20240228,123032
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228123642_jpg.rf.ea1b858851d68488ef362a87b3f5037e.jpg,test,IMG20240228123642,roboflow,ts_compact,20240228,123642
ElectroCom61 A Multiclass Dataset for Detection of Electronic Components\ElectroCom61\test\images\IMG20240228123723_jpg.rf.a9fa093d25b382134ff04f0dda702db6.jpg,test,IMG20240228123723,roboflow,ts_compact,20240228,123723
