gap_seconds,device_key,stem_a,split_a,stem_b,split_b
1,FAMILY:ts_underscore,IMG_20240220_115315,test,IMG_20240220_115316,train
2,FAMILY:ts_compact,IMG20240306143950,test,IMG20240306143952,train
2,FAMILY:ts_compact,IMG20240306144350,train,IMG20240306144352,valid
2,FAMILY:ts_underscore,IMG_20240228_131857,valid,IMG_20240228_131859,train
2,FAMILY:ts_underscore,IMG_20240306_143943,test,IMG_20240306_143945,train
2,FAMILY:ts_underscore,IMG_20240309_114140,test,IMG_20240309_114142,train
3,FAMILY:ts_compact,IMG20240220120325,test,IMG20240220120328,train
3,FAMILY:ts_compact,IMG20240303111847,test,IMG20240303111850,train
3,FAMILY:ts_compact,IMG20240306121019,train,IMG20240306121022,valid
3,FAMILY:ts_compact,IMG20240306144352,valid,IMG20240306144355,train
3,FAMILY:ts_compact,IMG20240309112551,test,IMG20240309112554,train
3,FAMILY:ts_compact,IMG20240309114535,valid,IMG20240309114538,train
3,FAMILY:ts_underscore,IMG_20240220_135306,train,IMG_20240220_135309,test
3,FAMILY:ts_underscore,IMG_20240228_124806,train,IMG_20240228_124809,valid
3,FAMILY:ts_underscore,IMG_20240228_125903,valid,IMG_20240228_125906,train
3,FAMILY:ts_underscore,IMG_20240228_135854,valid,IMG_20240228_135857,train
3,FAMILY:ts_underscore,IMG_20240228_140555,train,IMG_20240228_140558,valid
3,FAMILY:ts_underscore,IMG_20240228_140815,train,IMG_20240228_140818,valid
3,FAMILY:ts_underscore,IMG_20240228_141047,valid,IMG_20240228_141050,train
3,FAMILY:ts_underscore,IMG_20240303_105917,valid,IMG_20240303_105920,train
3,FAMILY:ts_underscore,IMG_20240303_111456,train,IMG_20240303_111459,test
3,FAMILY:ts_underscore,IMG_20240306_120326,train,IMG_20240306_120329,valid
3,FAMILY:ts_underscore,IMG_20240306_144154,valid,IMG_20240306_144157,train
3,FAMILY:ts_underscore,IMG_20240306_144215,test,IMG_20240306_144218,train
3,FAMILY:ts_underscore,IMG_20240309_114837,train,IMG_20240309_114840,test
3,FAMILY:ts_underscore,IMG_20240309_115102,valid,IMG_20240309_115105,train
3,FAMILY:ts_underscore,IMG_20240309_115346,train,IMG_20240309_115349,valid
3,FAMILY:ts_underscore,IMG_20240309_115515,train,IMG_20240309_115518,valid
4,FAMILY:ts_compact,IMG20240220120321,valid,IMG20240220120325,test
4,FAMILY:ts_compact,IMG20240303110616,valid,IMG20240303110620,train
4,FAMILY:ts_compact,IMG20240303111615,test,IMG20240303111619,valid
4,FAMILY:ts_compact,IMG20240303111919,test,IMG20240303111923,valid
4,FAMILY:ts_compact,IMG20240306115903,train,IMG20240306115907,valid
4,FAMILY:ts_compact,IMG20240306115954,valid,IMG20240306115958,train
4,FAMILY:ts_compact,IMG20240306121022,valid,IMG20240306121026,test
4,FAMILY:ts_compact,IMG20240306143547,train,IMG20240306143551,test
4,FAMILY:ts_compact,IMG20240306143745,train,IMG20240306143749,valid
4,FAMILY:ts_compact,IMG20240306143800,train,IMG20240306143804,valid
4,FAMILY:ts_compact,IMG20240306144246,train,IMG20240306144250,test
4,FAMILY:ts_compact,IMG20240309112455,valid,IMG20240309112459,test
4,FAMILY:ts_compact,IMG20240309113201,train,IMG20240309113205,valid
4,FAMILY:ts_compact,IMG20240309113205,valid,IMG20240309113209,train
4,FAMILY:ts_compact,IMG20240309113432,valid,IMG20240309113436,train
4,FAMILY:ts_compact,IMG20240309114604,test,IMG20240309114608,train
4,FAMILY:ts_compact,IMG20240309120445,train,IMG20240309120449,valid
4,FAMILY:ts_underscore,IMG_20240219_115220,train,IMG_20240219_115224,valid
4,FAMILY:ts_underscore,IMG_20240228_123529,train,IMG_20240228_123533,valid
4,FAMILY:ts_underscore,IMG_20240228_123716,train,IMG_20240228_123720,test
4,FAMILY:ts_underscore,IMG_20240228_123818,train,IMG_20240228_123822,test
4,FAMILY:ts_underscore,IMG_20240228_131014,valid,IMG_20240228_131018,train
4,FAMILY:ts_underscore,IMG_20240228_131859,train,IMG_20240228_131903,valid
