class_id,class_name,before_train,before_valid,before_test,after_train,after_valid,after_test,meets_min_after,was_never_evaluated
0,1-5-Volt-Battery,94,109,8,98,105,8,yes,no
1,3-3-Volt-Battery,77,38,90,88,38,79,yes,no
2,7-Segment-Display,131,36,17,131,36,17,yes,no
3,9-Volt-Battery,160,0,0,150,5,5,yes,yes
4,Arduino-Mega,129,29,19,129,29,19,yes,no
5,Arduino-Nano,77,105,12,78,104,12,yes,no
6,Arduino-Uno,201,5,1,189,12,6,yes,no
7,BJT-Transistor,102,100,27,102,100,27,yes,no
8,Bluetooth-Module,249,0,0,235,7,7,yes,yes
9,Breadboard,130,31,20,130,31,20,yes,no
10,Bridge-Rectifier,162,45,23,162,45,23,yes,no
11,Buck-Converter,117,33,18,117,33,18,yes,no
12,Buzzer,272,0,0,255,8,9,yes,yes
13,Capacitor-10mf,84,110,24,90,104,24,yes,no
14,Capacitor-470mf,84,113,22,86,111,22,yes,no
15,DC-Motor,51,31,89,65,31,75,yes,no
16,Diode,257,6,2,246,11,8,yes,no
17,ESP32,190,0,2,182,5,5,yes,no
18,ESP32-CAM,73,37,82,82,37,73,yes,no
19,FT-232-USB-Serial-Module,54,31,88,66,31,76,yes,no
20,Film-Capacitor,158,15,5,148,19,11,yes,no
21,Fuse,161,7,8,153,11,12,yes,no
22,Fuse-Base,156,15,4,152,16,7,yes,no
23,GSM-Module,164,48,24,164,48,24,yes,no
24,Gas-Sensor,221,0,0,207,7,7,yes,yes
25,Heat-Sink,171,3,1,162,7,6,yes,no
26,High-Voltage-Ceramic-Capacitor,257,0,0,245,6,6,yes,yes
27,Humidity-Sensor,167,45,22,167,45,22,yes,no
28,IC-Base-14-Pin,167,50,22,167,50,22,yes,no
29,IC-Base-28-Pin,165,44,22,165,44,22,yes,no
30,IC-Chip,333,4,2,319,11,9,yes,no
31,IGBT,82,119,15,90,111,15,yes,no
32,IR-Sensor,82,119,20,89,112,20,yes,no
33,Inductor,293,0,0,279,7,7,yes,yes
34,Keypad,88,91,12,88,91,12,yes,no
35,LCD-Display,177,0,0,167,5,5,yes,yes
36,LDR-Sensor,161,0,0,149,6,6,yes,yes
37,LED-Light,293,0,0,277,10,6,yes,yes
38,Low-Voltage-Ceramic-Capacitor,98,102,17,98,102,17,yes,no
39,MLC-Capacitor,292,0,0,274,8,10,yes,yes
40,MOSFET,56,130,21,64,122,21,yes,no
41,Motion-Sensor,161,48,20,161,48,20,yes,no
42,Motor-Driver,177,0,0,167,5,5,yes,yes
43,NTC-Thermistor,100,105,17,101,104,17,yes,no
44,OLED-Display,279,0,0,264,10,5,yes,yes
45,Pin-Header,50,104,17,51,103,17,yes,no
46,Push-Switch,277,0,0,262,8,7,yes,yes
47,RFID-Scanner,153,0,0,143,5,5,yes,yes
48,Raindrops-Module,65,35,87,74,35,78,yes,no
49,Relay-Module,158,45,25,158,45,25,yes,no
50,Resistor,118,33,18,118,33,18,yes,no
51,Rocker-Switch,83,86,12,83,86,12,yes,no
52,Servo-Motor,169,2,3,159,7,8,yes,no
53,Soil-Moisture-Sensor,65,98,21,65,98,21,yes,no
54,Sonar-Sensor,235,0,0,225,5,5,yes,yes
55,TCRT5000,115,32,18,115,32,18,yes,no
56,Tact-Switch,71,115,26,80,106,26,yes,no
57,Taper-Potentiometer,55,34,83,65,34,73,yes,no
58,Trimmer-Potentiometer,160,47,21,160,47,21,yes,no
59,Water-Sensor,165,44,21,165,44,21,yes,no
60,Zener-Diode,96,121,21,101,116,21,yes,no
