class_id,class_name,inst_train,inst_valid,inst_test,inst_total,meets_min
0,1-5-Volt-Battery,98,105,8,211,yes
1,3-3-Volt-Battery,88,38,79,205,yes
2,7-Segment-Display,131,36,17,184,yes
3,9-Volt-Battery,150,5,5,160,yes
4,Arduino-Mega,129,29,19,177,yes
5,Arduino-Nano,78,104,12,194,yes
6,Arduino-Uno,189,12,6,207,yes
7,BJT-Transistor,102,100,27,229,yes
8,Bluetooth-Module,235,7,7,249,yes
9,Breadboard,130,31,20,181,yes
10,Bridge-Rectifier,162,45,23,230,yes
11,Buck-Converter,117,33,18,168,yes
12,Buzzer,255,8,9,272,yes
13,Capacitor-10mf,90,104,24,218,yes
14,Capacitor-470mf,86,111,22,219,yes
15,DC-Motor,65,31,75,171,yes
16,Diode,246,11,8,265,yes
17,ESP32,182,5,5,192,yes
18,ESP32-CAM,82,37,73,192,yes
19,FT-232-USB-Serial-Module,66,31,76,173,yes
20,Film-Capacitor,148,19,11,178,yes
21,Fuse,153,11,12,176,yes
22,Fuse-Base,152,16,7,175,yes
23,GSM-Module,164,48,24,236,yes
24,Gas-Sensor,207,7,7,221,yes
25,Heat-Sink,162,7,6,175,yes
26,High-Voltage-Ceramic-Capacitor,245,6,6,257,yes
27,Humidity-Sensor,167,45,22,234,yes
28,IC-Base-14-Pin,167,50,22,239,yes
29,IC-Base-28-Pin,165,44,22,231,yes
30,IC-Chip,319,11,9,339,yes
31,IGBT,90,111,15,216,yes
32,IR-Sensor,89,112,20,221,yes
33,Inductor,279,7,7,293,yes
34,Keypad,88,91,12,191,yes
35,LCD-Display,167,5,5,177,yes
36,LDR-Sensor,149,6,6,161,yes
37,LED-Light,277,10,6,293,yes
38,Low-Voltage-Ceramic-Capacitor,98,102,17,217,yes
39,MLC-Capacitor,274,8,10,292,yes
40,MOSFET,64,122,21,207,yes
41,Motion-Sensor,161,48,20,229,yes
42,Motor-Driver,167,5,5,177,yes
43,NTC-Thermistor,101,104,17,222,yes
44,OLED-Display,264,10,5,279,yes
45,Pin-Header,51,103,17,171,yes
46,Push-Switch,262,8,7,277,yes
47,RFID-Scanner,143,5,5,153,yes
48,Raindrops-Module,74,35,78,187,yes
49,Relay-Module,158,45,25,228,yes
50,Resistor,118,33,18,169,yes
51,Rocker-Switch,83,86,12,181,yes
52,Servo-Motor,159,7,8,174,yes
53,Soil-Moisture-Sensor,65,98,21,184,yes
54,Sonar-Sensor,225,5,5,235,yes
55,TCRT5000,115,32,18,165,yes
56,Tact-Switch,80,106,26,212,yes
57,Taper-Potentiometer,65,34,73,172,yes
58,Trimmer-Potentiometer,160,47,21,228,yes
59,Water-Sensor,165,44,21,230,yes
60,Zener-Diode,101,116,21,238,yes
