class_id,class_name,inst_train,inst_valid,inst_test,inst_total,meets_min
0,1-5-Volt-Battery,94,109,8,211,yes
1,3-3-Volt-Battery,83,38,84,205,yes
2,7-Segment-Display,132,35,17,184,yes
3,9-Volt-Battery,150,5,5,160,yes
4,Arduino-Mega,129,29,19,177,yes
5,Arduino-Nano,84,98,12,194,yes
6,Arduino-Uno,194,8,5,207,yes
7,BJT-Transistor,113,89,27,229,yes
8,Bluetooth-Module,235,6,8,249,yes
9,Breadboard,130,31,20,181,yes
10,Bridge-Rectifier,162,45,23,230,yes
11,Buck-Converter,117,33,18,168,yes
12,Buzzer,259,7,6,272,yes
13,Capacitor-10mf,94,100,24,218,yes
14,Capacitor-470mf,97,102,20,219,yes
15,DC-Motor,57,31,83,171,yes
16,Diode,246,9,10,265,yes
17,ESP32,182,5,5,192,yes
18,ESP32-CAM,79,37,76,192,yes
19,FT-232-USB-Serial-Module,60,31,82,173,yes
20,Film-Capacitor,154,15,9,178,yes
21,Fuse,157,11,8,176,yes
22,Fuse-Base,150,19,6,175,yes
23,GSM-Module,165,48,23,236,yes
24,Gas-Sensor,204,10,7,221,yes
25,Heat-Sink,162,7,6,175,yes
26,High-Voltage-Ceramic-Capacitor,242,8,7,257,yes
27,Humidity-Sensor,167,45,22,234,yes
28,IC-Base-14-Pin,167,50,22,239,yes
29,IC-Base-28-Pin,166,44,21,231,yes
30,IC-Chip,317,12,10,339,yes
31,IGBT,88,116,12,216,yes
32,IR-Sensor,94,107,20,221,yes
33,Inductor,276,7,10,293,yes
34,Keypad,101,80,10,191,yes
35,LCD-Display,165,7,5,177,yes
36,LDR-Sensor,151,5,5,161,yes
37,LED-Light,279,8,6,293,yes
38,Low-Voltage-Ceramic-Capacitor,105,95,17,217,yes
39,MLC-Capacitor,273,10,9,292,yes
40,MOSFET,60,126,21,207,yes
41,Motion-Sensor,162,48,19,229,yes
42,Motor-Driver,167,5,5,177,yes
43,NTC-Thermistor,114,95,13,222,yes
44,OLED-Display,266,7,6,279,yes
45,Pin-Header,61,97,13,171,yes
46,Push-Switch,261,10,6,277,yes
47,RFID-Scanner,143,5,5,153,yes
48,Raindrops-Module,71,35,81,187,yes
49,Relay-Module,159,45,24,228,yes
50,Resistor,121,33,15,169,yes
51,Rocker-Switch,91,78,12,181,yes
52,Servo-Motor,161,6,7,174,yes
53,Soil-Moisture-Sensor,73,91,20,184,yes
54,Sonar-Sensor,223,7,5,235,yes
55,TCRT5000,115,32,18,165,yes
56,Tact-Switch,86,104,22,212,yes
57,Taper-Potentiometer,61,34,77,172,yes
58,Trimmer-Potentiometer,161,47,20,228,yes
59,Water-Sensor,165,44,21,230,yes
60,Zener-Diode,111,106,21,238,yes
