class_id,class_name,before_valid,before_test,after_valid,after_test,meets_min
0,1-5-Volt-Battery,109,8,109,8,yes
1,3-3-Volt-Battery,38,90,38,84,yes
2,7-Segment-Display,36,17,35,17,yes
3,9-Volt-Battery,0,0,5,5,yes
4,Arduino-Mega,29,19,29,19,yes
5,Arduino-Nano,105,12,98,12,yes
6,Arduino-Uno,5,1,8,5,yes
7,BJT-Transistor,100,27,89,27,yes
8,Bluetooth-Module,0,0,6,8,yes
9,Breadboard,31,20,31,20,yes
10,Bridge-Rectifier,45,23,45,23,yes
11,Buck-Converter,33,18,33,18,yes
12,Buzzer,0,0,7,6,yes
13,Capacitor-10mf,110,24,100,24,yes
14,Capacitor-470mf,113,22,102,20,yes
15,DC-Motor,31,89,31,83,yes
16,Diode,6,2,9,10,yes
17,ESP32,0,2,5,5,yes
18,ESP32-CAM,37,82,37,76,yes
19,FT-232-USB-Serial-Module,31,88,31,82,yes
20,Film-Capacitor,15,5,15,9,yes
21,Fuse,7,8,11,8,yes
22,Fuse-Base,15,4,19,6,yes
23,GSM-Module,48,24,48,23,yes
24,Gas-Sensor,0,0,10,7,yes
25,Heat-Sink,3,1,7,6,yes
26,High-Voltage-Ceramic-Capacitor,0,0,8,7,yes
27,Humidity-Sensor,45,22,45,22,yes
28,IC-Base-14-Pin,50,22,50,22,yes
29,IC-Base-28-Pin,44,22,44,21,yes
30,IC-Chip,4,2,12,10,yes
31,IGBT,119,15,116,12,yes
32,IR-Sensor,119,20,107,20,yes
33,Inductor,0,0,7,10,yes
34,Keypad,91,12,80,10,yes
35,LCD-Display,0,0,7,5,yes
36,LDR-Sensor,0,0,5,5,yes
37,LED-Light,0,0,8,6,yes
38,Low-Voltage-Ceramic-Capacitor,102,17,95,17,yes
39,MLC-Capacitor,0,0,10,9,yes
40,MOSFET,130,21,126,21,yes
41,Motion-Sensor,48,20,48,19,yes
42,Motor-Driver,0,0,5,5,yes
43,NTC-Thermistor,105,17,95,13,yes
44,OLED-Display,0,0,7,6,yes
45,Pin-Header,104,17,97,13,yes
46,Push-Switch,0,0,10,6,yes
47,RFID-Scanner,0,0,5,5,yes
48,Raindrops-Module,35,87,35,81,yes
49,Relay-Module,45,25,45,24,yes
50,Resistor,33,18,33,15,yes
51,Rocker-Switch,86,12,78,12,yes
52,Servo-Motor,2,3,6,7,yes
53,Soil-Moisture-Sensor,98,21,91,20,yes
54,Sonar-Sensor,0,0,7,5,yes
55,TCRT5000,32,18,32,18,yes
56,Tact-Switch,115,26,104,22,yes
57,Taper-Potentiometer,34,83,34,77,yes
58,Trimmer-Potentiometer,47,21,47,20,yes
59,Water-Sensor,44,21,44,21,yes
60,Zener-Diode,121,21,106,21,yes
