direction,split,group_id,n_images,date_groups,n_classes
admitted,valid,18,1,20240219,6
admitted,valid,711,1,<untimestamped:counter>,6
admitted,valid,417,1,20240220,6
admitted,valid,704,1,<untimestamped:counter>,6
admitted,valid,449,1,20240220,6
admitted,valid,82,1,20240220,6
admitted,valid,23,1,20240220,5
admitted,valid,38,1,20240220,6
admitted,valid,6,1,20240219,6
admitted,valid,40,1,20240220,6
admitted,valid,70,1,20240220,5
admitted,valid,645,1,<untimestamped:counter>,5
admitted,valid,459,1,20240220,5
admitted,valid,71,2,20240220,8
admitted,valid,689,1,<untimestamped:counter>,5
admitted,valid,673,1,<untimestamped:counter>,5
admitted,valid,68,1,20240220,6
admitted,valid,47,1,20240220,6
admitted,test,366,1,20240219,6
admitted,test,93,3,20240220,8
admitted,test,713,1,<untimestamped:counter>,6
admitted,test,736,1,<untimestamped:counter>,5
admitted,test,25,1,20240220,6
admitted,test,390,1,20240220,6
admitted,test,712,1,<untimestamped:counter>,6
admitted,test,37,1,20240220,6
admitted,test,11,1,20240219,5
admitted,test,28,1,20240220,7
admitted,test,454,1,20240220,5
admitted,test,89,1,20240220,5
admitted,test,44,1,20240220,6
returned,valid,129,3,20240228,7
returned,valid,154,2,20240228,7
returned,valid,132,1,20240228,7
returned,valid,111,2,20240228,8
returned,valid,125,1,20240228,7
returned,valid,117,1,20240228,4
returned,valid,528,2,20240228,6
returned,valid,324,1,20241118,6
returned,valid,520,4,20240228,10
returned,valid,161,2,20240228,9
returned,test,212,1,20240303,6
returned,test,298,1,20240417,2
returned,test,224,4,20240303,6
returned,test,207,1,20240303,6
returned,test,467,7,20240228,8
returned,test,277,1,20240309,5
