class_id,class_name,regime,setting,n_groups_with_class,n_groups_with_ge_5,min_images_in_qualifying_group,max_images_in_qualifying_group,total_instances,verdict
3,9-Volt-Battery,timestamp,tau=3s,152,0,0,0,160,insufficient
3,9-Volt-Battery,timestamp,tau=5s,119,0,0,0,160,insufficient
3,9-Volt-Battery,timestamp,tau=10s,78,4,4,10,160,has_alternatives
3,9-Volt-Battery,timestamp,tau=30s,24,11,5,33,160,has_alternatives
3,9-Volt-Battery,timestamp,tau=60s,9,7,10,50,160,has_alternatives
8,Bluetooth-Module,timestamp,tau=3s,173,0,0,0,249,insufficient
8,Bluetooth-Module,timestamp,tau=5s,148,1,3,3,249,insufficient
8,Bluetooth-Module,timestamp,tau=10s,91,12,3,6,249,has_alternatives
8,Bluetooth-Module,timestamp,tau=30s,43,19,3,20,249,has_alternatives
8,Bluetooth-Module,timestamp,tau=60s,14,11,3,64,249,has_alternatives
12,Buzzer,timestamp,tau=3s,198,0,0,0,272,insufficient
12,Buzzer,timestamp,tau=5s,161,4,3,5,272,has_alternatives
12,Buzzer,timestamp,tau=10s,95,12,3,10,272,has_alternatives
12,Buzzer,timestamp,tau=30s,21,16,3,33,272,has_alternatives
12,Buzzer,timestamp,tau=60s,9,9,6,50,272,has_alternatives
24,Gas-Sensor,timestamp,tau=3s,66,0,0,0,97,insufficient
24,Gas-Sensor,timestamp,tau=5s,51,3,3,3,97,has_alternatives
24,Gas-Sensor,timestamp,tau=10s,38,6,3,4,97,has_alternatives
24,Gas-Sensor,timestamp,tau=30s,25,7,3,9,97,has_alternatives
24,Gas-Sensor,timestamp,tau=60s,13,8,3,19,97,has_alternatives
24,Gas-Sensor,scene-component,eps=0.01,111,0,0,0,124,insufficient
24,Gas-Sensor,scene-component,eps=0.02,109,0,0,0,124,insufficient
24,Gas-Sensor,scene-component,eps=0.05,87,0,0,0,124,insufficient
26,High-Voltage-Ceramic-Capacitor,timestamp,tau=3s,194,0,0,0,257,insufficient
26,High-Voltage-Ceramic-Capacitor,timestamp,tau=5s,166,2,3,3,257,has_alternatives
26,High-Voltage-Ceramic-Capacitor,timestamp,tau=10s,105,10,3,6,257,has_alternatives
26,High-Voltage-Ceramic-Capacitor,timestamp,tau=30s,44,19,3,20,257,has_alternatives
26,High-Voltage-Ceramic-Capacitor,timestamp,tau=60s,14,11,3,64,257,has_alternatives
33,Inductor,timestamp,tau=3s,177,0,0,0,293,insufficient
33,Inductor,timestamp,tau=5s,146,3,3,5,293,has_alternatives
33,Inductor,timestamp,tau=10s,90,11,3,10,293,has_alternatives
33,Inductor,timestamp,tau=30s,23,15,3,33,293,has_alternatives
33,Inductor,timestamp,tau=60s,9,9,6,50,293,has_alternatives
35,LCD-Display,timestamp,tau=3s,168,0,0,0,177,insufficient
35,LCD-Display,timestamp,tau=5s,137,1,5,5,177,insufficient
35,LCD-Display,timestamp,tau=10s,89,3,5,10,177,has_alternatives
35,LCD-Display,timestamp,tau=30s,25,11,5,33,177,has_alternatives
35,LCD-Display,timestamp,tau=60s,9,7,10,50,177,has_alternatives
36,LDR-Sensor,timestamp,tau=3s,78,1,2,2,161,insufficient
36,LDR-Sensor,timestamp,tau=5s,60,8,2,4,161,has_alternatives
36,LDR-Sensor,timestamp,tau=10s,46,12,2,4,161,has_alternatives
36,LDR-Sensor,timestamp,tau=30s,27,14,2,9,161,has_alternatives
36,LDR-Sensor,timestamp,tau=60s,15,11,2,19,161,has_alternatives
37,LED-Light,timestamp,tau=3s,0,0,0,0,0,absent_from_regime
37,LED-Light,timestamp,tau=5s,0,0,0,0,0,absent_from_regime
37,LED-Light,timestamp,tau=10s,0,0,0,0,0,absent_from_regime
37,LED-Light,timestamp,tau=30s,0,0,0,0,0,absent_from_regime
37,LED-Light,timestamp,tau=60s,0,0,0,0,0,absent_from_regime
37,LED-Light,scene-component,eps=0.01,183,0,0,0,293,insufficient
37,LED-Light,scene-component,eps=0.02,179,0,0,0,293,insufficient
37,LED-Light,scene-component,eps=0.05,144,4,3,5,293,has_alternatives
39,MLC-Capacitor,timestamp,tau=3s,80,19,1,2,292,has_alternatives
39,MLC-Capacitor,timestamp,tau=5s,62,25,1,4,292,has_alternatives
39,MLC-Capacitor,timestamp,tau=10s,48,22,1,4,292,has_alternatives
39,MLC-Capacitor,timestamp,tau=30s,27,23,1,9,292,has_alternatives
39,MLC-Capacitor,timestamp,tau=60s,15,14,2,19,292,has_alternatives
42,Motor-Driver,timestamp,tau=3s,167,0,0,0,177,insufficient
42,Motor-Driver,timestamp,tau=5s,130,0,0,0,177,insufficient
42,Motor-Driver,timestamp,tau=10s,89,5,3,10,177,has_alternatives
42,Motor-Driver,timestamp,tau=30s,35,11,7,33,177,has_alternatives
42,Motor-Driver,timestamp,tau=60s,23,11,7,50,177,has_alternatives
44,OLED-Display,timestamp,tau=3s,0,0,0,0,0,absent_from_regime
44,OLED-Display,timestamp,tau=5s,0,0,0,0,0,absent_from_regime
44,OLED-Display,timestamp,tau=10s,0,0,0,0,0,absent_from_regime
44,OLED-Display,timestamp,tau=30s,0,0,0,0,0,absent_from_regime
44,OLED-Display,timestamp,tau=60s,0,0,0,0,0,absent_from_regime
44,OLED-Display,scene-component,eps=0.01,188,0,0,0,279,insufficient
