state,scoring,epsilon,excl_low_info,n_pairs_total,n_cross_split,pairs_train_test,pairs_train_valid,pairs_valid_test,test_images_w_train_twin,valid_images_w_train_twin,cross_pairs_involving_untimestamped
published,raw,0.01,yes,1,0,0,0,0,0,0,0
published,raw,0.01,no,2,1,0,1,0,0,1,0
published,raw,0.02,yes,4,0,0,0,0,0,0,0
published,raw,0.02,no,12,4,0,2,2,0,2,0
published,raw,0.05,yes,26,1,0,1,0,0,1,0
published,raw,0.05,no,61,23,8,12,3,4,9,0
published,aligned,0.01,yes,3,0,0,0,0,0,0,0
published,aligned,0.01,no,129,77,21,47,9,9,18,0
published,aligned,0.02,yes,13,0,0,0,0,0,0,0
published,aligned,0.02,no,139,77,21,47,9,9,18,0
published,aligned,0.05,yes,85,3,0,3,0,0,3,0
published,aligned,0.05,no,213,81,22,50,9,10,21,0
corrected,raw,0.01,yes,1,0,0,0,0,0,0,0
corrected,raw,0.01,no,2,1,0,1,0,0,1,0
corrected,raw,0.02,yes,4,1,1,0,0,1,0,0
corrected,raw,0.02,no,12,5,1,2,2,1,2,0
corrected,raw,0.05,yes,26,3,2,1,0,2,1,1
corrected,raw,0.05,no,61,24,9,12,3,5,9,1
corrected,aligned,0.01,yes,3,1,1,0,0,1,0,0
corrected,aligned,0.01,no,129,74,23,44,7,9,16,0
corrected,aligned,0.02,yes,13,1,1,0,0,1,0,0
corrected,aligned,0.02,no,139,74,23,44,7,9,16,0
corrected,aligned,0.05,yes,85,7,4,3,0,2,3,2
corrected,aligned,0.05,no,213,81,27,47,7,11,19,2
