image_a,split_a,image_b,split_b,raw_max_centre_dist,aligned_max_centre_dist,low_information,involves_untimestamped,published_split_a,published_split_b
IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,test,IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,train,0.04099,0.00000,yes,no,test,train
IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,test,IMG_20240228_140644_jpg.rf.b18e9855b0c5ae188cfd3f22b93e07ff.jpg,valid,0.03523,0.00000,yes,no,test,valid
IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,test,IMG_20240228_140650_jpg.rf.e96a97290c000aa324bbc250841aa2a0.jpg,valid,0.05368,0.00000,yes,no,test,valid
IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,test,IMG_20240228_140654_jpg.rf.cabcdd9bc01f8ee9ca42a0981bf19f2c.jpg,valid,0.01657,0.00000,yes,no,test,valid
IMG_20240228_123336_jpg.rf.497f45bc6f150f5f833babf0d569e822.jpg,test,IMG_20240228_124449_jpg.rf.b10e064adfae5b5bf5559e4142f78587.jpg,train,0.23837,0.00000,yes,no,test,train
IMG_20240228_123336_jpg.rf.497f45bc6f150f5f833babf0d569e822.jpg,test,IMG_20240228_124455_jpg.rf.dca8a65c8502f61cea2eabfcbcbd6a69.jpg,train,0.29105,0.00000,yes,no,test,valid
IMG_20240228_123455_jpg.rf.428ed950ee2afe7df20606dd6797371b.jpg,test,IMG_20240228_130516_jpg.rf.29e119ede9483c0bad6bf48224ed6a34.jpg,train,0.07617,0.00000,yes,no,test,train
IMG_20240228_123455_jpg.rf.428ed950ee2afe7df20606dd6797371b.jpg,test,IMG_20240228_131410_jpg.rf.7de2c93a9da2744775a66a94de0638fc.jpg,train,0.07031,0.00000,yes,no,test,valid
IMG_20240228_123455_jpg.rf.428ed950ee2afe7df20606dd6797371b.jpg,test,IMG_20240228_131416_jpg.rf.339af5367a685a45943df1f9cb06a38f.jpg,train,0.13560,0.00000,yes,no,test,train
IMG_20240228_123700_jpg.rf.d0bbacacf8b6dc3ff0548638aeaad7bc.jpg,train,IMG_20240228_140455_jpg.rf.d5c755c9ca632aeb790abd2671edc0ba.jpg,valid,0.04225,0.00000,yes,no,train,valid
IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,train,IMG_20240228_140644_jpg.rf.b18e9855b0c5ae188cfd3f22b93e07ff.jpg,valid,0.00630,0.00000,yes,no,train,valid
IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,train,IMG_20240228_140650_jpg.rf.e96a97290c000aa324bbc250841aa2a0.jpg,valid,0.01690,0.00000,yes,no,train,valid
