counter_a,counter_b,stem_a,split_a,stem_b,split_b,cross_split,relationship,same_class_multiset,raw_max_centre_dist,aligned_max_centre_dist,score,n_boxes,low_information,file_a,file_b
5126,5127,IMG_5126,train,IMG_5127,train,no,same split,yes,0.06609,0.03197,0.03197,5,no,IMG_5126_JPG.rf.86ccf99f5ec931ec6783ddf155143993.jpg,IMG_5127_JPG.rf.94e0700e7b9a679530ad261703271ae4.jpg
5127,5128,IMG_5127,train,IMG_5128,train,no,same split,yes,0.23229,0.22453,0.22453,5,no,IMG_5127_JPG.rf.94e0700e7b9a679530ad261703271ae4.jpg,IMG_5128_JPG.rf.35737de58936492fd957becba7867100.jpg
5128,5129,IMG_5128,train,IMG_5129,train,no,same split,yes,0.03741,0.03021,0.03021,5,no,IMG_5128_JPG.rf.35737de58936492fd957becba7867100.jpg,IMG_5129_JPG.rf.8e2a6c14c2343d0f732079ae12829ea3.jpg
5129,5130,IMG_5129,train,IMG_5130,train,no,same split,yes,0.09039,0.01741,0.01741,5,no,IMG_5129_JPG.rf.8e2a6c14c2343d0f732079ae12829ea3.jpg,IMG_5130_JPG.rf.53b883e06ff97b0b6c4b54192eac844d.jpg
5130,5131,IMG_5130,train,IMG_5131,train,no,same split,yes,0.20281,0.06311,0.06311,5,no,IMG_5130_JPG.rf.53b883e06ff97b0b6c4b54192eac844d.jpg,IMG_5131_JPG.rf.fe14203183dd319dd22731d6836d7a37.jpg
5131,5132,IMG_5131,train,IMG_5132,train,no,same split,yes,0.09520,0.03874,0.03874,5,no,IMG_5131_JPG.rf.fe14203183dd319dd22731d6836d7a37.jpg,IMG_5132_JPG.rf.eae93efb62884705c0f4c39445aa1569.jpg
5132,5133,IMG_5132,train,IMG_5133,train,no,same split,yes,0.07847,0.03205,0.03205,5,no,IMG_5132_JPG.rf.eae93efb62884705c0f4c39445aa1569.jpg,IMG_5133_JPG.rf.d6db9c6417c03860140f1a145fac4ced.jpg
5133,5134,IMG_5133,train,IMG_5134,train,no,same split,yes,0.10398,0.05594,0.05594,5,no,IMG_5133_JPG.rf.d6db9c6417c03860140f1a145fac4ced.jpg,IMG_5134_JPG.rf.8d931b554638ca7f3f78807db22a93c3.jpg
5134,5135,IMG_5134,train,IMG_5135,train,no,same split,yes,0.22721,0.22768,0.22721,5,no,IMG_5134_JPG.rf.8d931b554638ca7f3f78807db22a93c3.jpg,IMG_5135_JPG.rf.d5405e12924696478774d2754e56401d.jpg
5135,5136,IMG_5135,train,IMG_5136,train,no,same split,yes,0.24159,0.23657,0.23657,5,no,IMG_5135_JPG.rf.d5405e12924696478774d2754e56401d.jpg,IMG_5136_JPG.rf.23fec3faeef0d871cbb29eae1710aa75.jpg
