rank,score,relationship,stem_a,split_a,stem_b,split_b,raw,aligned,n_boxes,low_information,file_a,file_b
1,0.03890,valid<->train,IMG_20240309_120229,train,IMG_20240309_120246,valid,0.04683,0.03890,9,no,IMG_20240309_120229_jpg.rf.720d21b300cecea8953931322931016f.jpg,IMG_20240309_120246_jpg.rf.b17e147230b4d8ed6e8d3338a4b795fe.jpg
2,0.04075,valid<->train,IMG_20240228_132444,train,IMG_20240228_132451,valid,0.05797,0.04075,8,no,IMG_20240228_132444_jpg.rf.f4a025b55f3409e1b07471b61a891f59.jpg,IMG_20240228_132451_jpg.rf.9cd9b224f4d8bac48ca02a90363ec69d.jpg
3,0.04277,valid<->train,IMG20240303110140,valid,IMG_20240303_110205,train,0.09592,0.04277,6,no,IMG20240303110140_jpg.rf.72cad1100959f83dbc151e775cb09823.jpg,IMG_20240303_110205_jpg.rf.9dae7cc7f41c8feb26f2e902d6914be3.jpg
4,0.05084,valid<->train,IMG_5189,valid,IMG_5190,train,0.10221,0.05084,5,no,IMG_5189_JPG.rf.3be7e6a5fd6bdbaf3b104f8e287d0aac.jpg,IMG_5190_JPG.rf.4df88492a270fcf3b59245b4a5e98c1a.jpg
5,0.05154,test<->train,IMG20241118102634,test,IMG20241118102657,train,0.10882,0.05154,5,no,IMG20241118102634_jpg.rf.5564e9f10bcf75bf3dcae61988cce4d4.jpg,IMG20241118102657_jpg.rf.d3ba5b2c0eb095cf6c5714ea675ac319.jpg
6,0.05281,valid<->train,IMG20240309115506,valid,IMG20240309115523,train,0.10776,0.05281,9,no,IMG20240309115506_jpg.rf.eea6c4150835413fab65c1e1ba04af01.jpg,IMG20240309115523_jpg.rf.ea4343b62091312637eee0c5083cbb43.jpg
7,0.05545,valid<->train,IMG20240228132605_01,train,IMG_20240228_132530,valid,0.11957,0.05545,8,no,IMG20240228132605_01_jpg.rf.d4f9fe8e37645bca784c6b1119b63953.jpg,IMG_20240228_132530_jpg.rf.3efb33b72b085fac350ad45b2a1fdf5f.jpg
8,0.05674,valid<->train,IMG20240228132605_01,train,IMG_20240228_132547,valid,0.16132,0.05674,8,no,IMG20240228132605_01_jpg.rf.d4f9fe8e37645bca784c6b1119b63953.jpg,IMG_20240228_132547_jpg.rf.dbc56e38921ed01189ba780721e3c197.jpg
9,0.05995,test<->train,IMG_5268,train,IMG_5269,test,0.07749,0.05995,8,no,IMG_5268_JPG.rf.0f3231302bfa6c0e1c5d34df3afa7043.jpg,IMG_5269_JPG.rf.85d045b7f626f018b187bfa293265050.jpg
10,0.06134,valid<->train,IMG_20240228_132304,train,IMG_20240228_132324,valid,0.06134,0.06213,4,no,IMG_20240228_132304_jpg.rf.e479ed3d7ff8626a89f51b28a90ccb89.jpg,IMG_20240228_132324_jpg.rf.b11e16a4858f908ac50584b0fa838eb6.jpg
11,0.06811,valid<->train,IMG20240309113333,valid,IMG20240309113411,train,0.06969,0.06811,5,no,IMG20240309113333_jpg.rf.73c492e54fe2a77da3f9df44c58d6e5c.jpg,IMG20240309113411_jpg.rf.bfca29a8bd71aa89edcfb3881710c773.jpg
12,0.06973,valid<->train,IMG_5215,valid,IMG_5216,train,0.09766,0.06973,6,no,IMG_5215_JPG.rf.dbb3c6388a1dd241907385fcea654526.jpg,IMG_5216_JPG.rf.d9189442751b1a1c3db9bd5514ddfe6f.jpg
