capture_group,label,v1_split,v2_split,n_images,kind
20240219,19 Feb 2024,train,train,70,same
20240219,19 Feb 2024,valid,train,20,moved
20240219,19 Feb 2024,test,train,10,moved
20240220,20 Feb 2024,train,train,341,same
20240220,20 Feb 2024,valid,train,97,moved
20240220,20 Feb 2024,test,train,48,moved
20240228,28 Feb 2024,train,train,111,same
20240228,28 Feb 2024,train,valid,189,moved
20240228,28 Feb 2024,train,test,38,moved
20240228,28 Feb 2024,valid,train,17,moved
20240228,28 Feb 2024,valid,valid,77,same
20240228,28 Feb 2024,valid,test,3,moved
20240228,28 Feb 2024,test,train,45,moved
20240228,28 Feb 2024,test,test,2,same
20240303,3 Mar 2024,train,train,55,same
20240303,3 Mar 2024,train,test,77,moved
20240303,3 Mar 2024,valid,valid,38,same
20240303,3 Mar 2024,test,test,18,same
20240306,6 Mar 2024,train,train,172,same
20240306,6 Mar 2024,valid,valid,48,same
20240306,6 Mar 2024,test,test,24,same
20240309,9 Mar 2024,train,train,230,same
20240309,9 Mar 2024,valid,valid,66,same
20240309,9 Mar 2024,test,test,32,same
20240417,17 Apr 2024,train,train,38,same
20240417,17 Apr 2024,valid,valid,10,same
20240417,17 Apr 2024,test,test,6,same
<untimestamped:counter>,iPhone (no timestamp),train,train,133,same
<untimestamped:counter>,iPhone (no timestamp),valid,train,36,moved
<untimestamped:counter>,iPhone (no timestamp),test,train,20,moved
