rank,score,relationship,stem_a,split_a,stem_b,split_b,raw,aligned,n_boxes,low_information,file_a,file_b
1,0.00000,test<->train,IMG_20240228_123015,test,IMG_20240228_124921,train,0.04099,0.00000,1,yes,IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg
2,0.00000,valid<->test,IMG_20240228_123015,test,IMG_20240228_140644,valid,0.03523,0.00000,1,yes,IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,IMG_20240228_140644_jpg.rf.b18e9855b0c5ae188cfd3f22b93e07ff.jpg
3,0.00000,valid<->test,IMG_20240228_123015,test,IMG_20240228_140650,valid,0.05368,0.00000,1,yes,IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,IMG_20240228_140650_jpg.rf.e96a97290c000aa324bbc250841aa2a0.jpg
4,0.00000,valid<->test,IMG_20240228_123015,test,IMG_20240228_140654,valid,0.01657,0.00000,1,yes,IMG_20240228_123015_jpg.rf.0f96382b2d6647ba2859e832ba8d47ff.jpg,IMG_20240228_140654_jpg.rf.cabcdd9bc01f8ee9ca42a0981bf19f2c.jpg
5,0.00000,valid<->train,IMG_20240228_123336,train,IMG_20240228_124455,valid,0.29105,0.00000,1,yes,IMG_20240228_123336_jpg.rf.497f45bc6f150f5f833babf0d569e822.jpg,IMG_20240228_124455_jpg.rf.dca8a65c8502f61cea2eabfcbcbd6a69.jpg
6,0.00000,test<->train,IMG_20240228_123455,test,IMG_20240228_130516,train,0.07617,0.00000,1,yes,IMG_20240228_123455_jpg.rf.428ed950ee2afe7df20606dd6797371b.jpg,IMG_20240228_130516_jpg.rf.29e119ede9483c0bad6bf48224ed6a34.jpg
7,0.00000,valid<->test,IMG_20240228_123455,test,IMG_20240228_131410,valid,0.07031,0.00000,1,yes,IMG_20240228_123455_jpg.rf.428ed950ee2afe7df20606dd6797371b.jpg,IMG_20240228_131410_jpg.rf.7de2c93a9da2744775a66a94de0638fc.jpg
8,0.00000,test<->train,IMG_20240228_123455,test,IMG_20240228_131416,train,0.13560,0.00000,1,yes,IMG_20240228_123455_jpg.rf.428ed950ee2afe7df20606dd6797371b.jpg,IMG_20240228_131416_jpg.rf.339af5367a685a45943df1f9cb06a38f.jpg
9,0.00000,valid<->train,IMG_20240228_123700,train,IMG_20240228_140455,valid,0.04225,0.00000,1,yes,IMG_20240228_123700_jpg.rf.d0bbacacf8b6dc3ff0548638aeaad7bc.jpg,IMG_20240228_140455_jpg.rf.d5c755c9ca632aeb790abd2671edc0ba.jpg
10,0.00000,valid<->train,IMG_20240228_124449,train,IMG_20240228_124455,valid,0.09644,0.00000,1,yes,IMG_20240228_124449_jpg.rf.b10e064adfae5b5bf5559e4142f78587.jpg,IMG_20240228_124455_jpg.rf.dca8a65c8502f61cea2eabfcbcbd6a69.jpg
11,0.00000,valid<->train,IMG_20240228_124921,train,IMG_20240228_140644,valid,0.00630,0.00000,1,yes,IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,IMG_20240228_140644_jpg.rf.b18e9855b0c5ae188cfd3f22b93e07ff.jpg
12,0.00000,valid<->train,IMG_20240228_124921,train,IMG_20240228_140650,valid,0.01690,0.00000,1,yes,IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,IMG_20240228_140650_jpg.rf.e96a97290c000aa324bbc250841aa2a0.jpg
13,0.00000,valid<->train,IMG_20240228_124921,train,IMG_20240228_140654,valid,0.02442,0.00000,1,yes,IMG_20240228_124921_jpg.rf.40b1e368165e39651636e69c99697203.jpg,IMG_20240228_140654_jpg.rf.cabcdd9bc01f8ee9ca42a0981bf19f2c.jpg
14,0.00000,valid<->train,IMG_20240228_125646,train,IMG_20240228_140455,valid,0.07324,0.00000,1,yes,IMG_20240228_125646_jpg.rf.d1439dbf42b633c3e6632829028cee68.jpg,IMG_20240228_140455_jpg.rf.d5c755c9ca632aeb790abd2671edc0ba.jpg
15,0.00000,valid<->train,IMG_20240228_130516,train,IMG_20240228_131410,valid,0.11231,0.00000,1,yes,IMG_20240228_130516_jpg.rf.29e119ede9483c0bad6bf48224ed6a34.jpg,IMG_20240228_131410_jpg.rf.7de2c93a9da2744775a66a94de0638fc.jpg
