stem,csv_DATA_TYPE,actual_split,filename_family,DEVICE_NAME
IMG20240219113649,Test,train,ts_compact,ONEPLUS_NORD
IMG20240219113745,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240219113831,Test,train,ts_compact,ONEPLUS_NORD
IMG20240219113846,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240219113926,Test,train,ts_compact,ONEPLUS_NORD
IMG20240219114137,Test,train,ts_compact,ONEPLUS_NORD
IMG20240219114212,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240219114504,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240219114836,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240219120330,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220114456,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220114517,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220114530,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220114626,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220114741,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220115100,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220115109,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220115220,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220115236,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220115305,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220115628,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220115854,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220115915,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220120021,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220120321,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220120325,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220120432,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220120525,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220120706,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220120712,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220121249,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220121305,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220121703,Test,train,ts_compact,ONEPLUS_NORD
IMG20240220122124,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220122231,Valid,train,ts_compact,ONEPLUS_NORD
IMG20240220122323,Valid,train,ts_compact,ONEPLUS_NORD
