epoch,train/cls_loss,train/giou_loss,train/l1_loss,val/cls_loss,val/giou_loss,val/l1_loss,mAP50,mAP50_95,fitness
1,1.54276,0.81294,0.71866,2.10909,0.52638,0.38675,0.00065,0.00024,0.000281
2,1.74863,0.55219,0.24644,nan,nan,nan,0.00036,0.0002,0.000216
3,1.70994,0.5276,0.24783,nan,nan,nan,0.00293,0.00119,0.001364
4,1.57531,0.57134,0.27058,1.93443,0.63026,0.50604,0.00401,0.0016,0.001841
5,1.48463,0.59194,0.2809,nan,nan,nan,0,0,0.0
6,1.44588,0.7057,0.34595,nan,nan,nan,0.00098,0.00046,0.000512
7,nan,nan,nan,nan,nan,nan,0,0,0.0
8,nan,nan,nan,nan,nan,nan,0,0,0.0
9,nan,nan,nan,nan,nan,nan,0,0,0.0
10,nan,nan,nan,nan,nan,nan,0,0,0.0
11,nan,nan,nan,nan,nan,nan,0,0,0.0
12,nan,nan,nan,nan,nan,nan,0,0,0.0
13,nan,nan,nan,nan,nan,nan,0,0,0.0
14,nan,nan,nan,nan,nan,nan,0,0,0.0
15,nan,nan,nan,nan,nan,nan,0,0,0.0
16,nan,nan,nan,nan,nan,nan,0,0,0.0
17,nan,nan,nan,nan,nan,nan,0,0,0.0
18,nan,nan,nan,nan,nan,nan,0,0,0.0
19,nan,nan,nan,nan,nan,nan,0,0,0.0
